paper,publication date (first revision),link,model family,model,param count,other models studied,notes,MMLU Accuracy
"Y. Bondarenko, M. Nagel, and T. Blankevoort. Quantizable transformers: Removing outliers by helping attention heads do nothing. ",2023-06-22,https://arxiv.org/abs/2306.12929,BERT,BERT-base,110000000,notes,,0
"N. Belrose, D. Schneider-Joseph, S. Ravfogel, R. Cotterell, E. Raff, and S. Biderman. LEACE: Perfect linear
concept erasure in closed form.",2023-06-06,https://arxiv.org/abs/2306.03819,BERT,BERT-base,110000000,,,0
"A. Geiger, Z. Wu, C. Potts, T. Icard, and N. D. Goodman. Finding alignments between interpretable causal
variables and distributed neural representations.",2023-03-05,https://arxiv.org/abs/2303.02536,BERT,BERT-base,110000000,,,0
"T. Mickus, D. Paperno, and M. Constant. How to dissect a Muppet: The structure of transformer embedding
spaces.",2022-06-07,https://arxiv.org/abs/2206.03529,BERT,BERT-base,110000000,"some of the other BERT papers may have used bert-based-uncased, one of the smaller versions, as well. They have typically been slightly unclear about it.",,0
"P. Pezeshkpour, S. Jain, S. Singh, and B. Wallace. Combining feature and instance attribution to detect artifacts.
",2021-07-01,https://arxiv.org/abs/2107.00323,BERT,BERT-base,110000000,BERT,,0
"P. Atanasova, J. G. Simonsen, C. Lioma, and I. Augenstein. A diagnostic study of explainability techniques
for text classification.",2020-09-25,https://arxiv.org/abs/2009.13295,BERT,BERT-base,110000000,"CNN, BERT, Transformer, LSTM",,0
"P. M. Htut, J. Phang, S. Bordia, and S. R. Bowman. Do attention heads in bert track syntactic dependencies?",2019-11-27,https://arxiv.org/abs/1911.12246,BERT,BERT-base,110000000,"BERT, Roborta",,0
"O. Kovaleva, A. Romanov, A. Rogers, and A. Rumshisky. Revealing the dark secrets of BERT. ",2019-08-21,https://arxiv.org/abs/1908.08593,BERT,BERT-base,110000000,BERT,,0
"P. Michel, O. Levy, and G. Neubig. Are sixteen heads really better than one? ",2019-05-25,https://arxiv.org/abs/1905.10650,BERT,BERT-base,110000000,BERT,,0
"D. Dai, L. Dong, Y. Hao, Z. Sui, B. Chang, and F. Wei. Knowledge neurons in pretrained transformers. ",2021-04-18,https://arxiv.org/abs/2104.08696,BERT,BERT-base,110000000,,,0
J. Enguehard. Sequential integrated gradients: a simple but effective method for explaining language models. ,2023-05-25,https://arxiv.org/abs/2305.15853,BERT,BERT-base,110000000,"BERT, DistilBERT and RoBERTa",,0
"J. Ferrando, G. I. Gállego, and M. R. Costa-jussà. Measuring the mixing of contextual information in the
transformer.",2022-03-08,https://arxiv.org/abs/2203.04212,BERT,BERT-base,110000000,"BERT, DistilBERT and RoBERTa",,0
"J. DeYoung, S. Jain, N. F. Rajani, E. Lehman, C. Xiong, R. Socher, and B. C. Wallace. ERASER: A benchmark
to evaluate rationalized NLP models.",2019-11-08,https://arxiv.org/abs/1911.03429v1,BERT,BERT-base,110000000,,,0
"S. Ravfogel, M. Twiton, Y. Goldberg, and R. D. Cotterell. Linear adversarial concept erasure. ",2022-01-28,https://arxiv.org/abs/2201.12091,BERT,BERT-base,110000000,didnt specify whether they used the big or small version of BERT,,0
"W. Timkey and M. van Schijndel. All bark and no bite: Rogue dimensions in transformer language models
obscure representational quality. ",2021-09-09,https://arxiv.org/abs/2109.04404,GPT-2,GPT-2 Small,124000000,"BERT, RoBERTa, GPT-2, XLNet (gpt2, xlnet-base-cased, bert-base-cased, roberta-base)",,25.83
"A. Syed, C. Rager, and A. Conmy. Attribution patching outperforms automated circuit discovery.",2023-10-16,https://arxiv.org/abs/2310.10348,GPT-2,GPT-2 Small,124000000,,,25.83
"A. Conmy, A. Mavor-Parker, A. Lynch, S. Heimersheim, and A. Garriga-Alonso. Towards automated circuit
discovery for mechanistic interpretability. ",2023-04-28,https://arxiv.org/abs/2304.14997,GPT-2,GPT-2 Small,124000000,,,25.83
N. Nanda. Attribution patching: Activation patching at industrial scale.,2023-02-04,https://www.neelnanda.io/mechanistic-interpretability/attribution-patching,GPT-2,GPT-2 Small,124000000,,,25.83
"C. Kissane, R. Krzyzanowski, A. Conmy, and N. Nanda. Attention saes scale to gpt-2 small. ",2024-02-03,https://www.alignmentforum.org/posts/FSTRedtjuHa4Gfdbr/attention-saes-scale-to-gpt-2-small,GPT-2,GPT-2 Small,124000000,,,25.83
"C. McDougall, A. Conmy, C. Rushing, T. McGrath, and N. Nanda. Copy suppression: Comprehensively
understanding an attention head.",2023-10-06,https://arxiv.org/abs/2310.04625,GPT-2,GPT-2 Small,124000000,,,25.83
W. Gurnee. Sae reconstruction errors are (empirically) pathological. ,2024-03-29,https://www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empirically-pathological,GPT-2,GPT-2 Small,124000000,,,25.83
"M. Hanna, S. Pezzelle, and Y. Belinkov. Have faith in faithfulness: Going beyond circuit overlap when finding
model mechanisms.",2024-03-26,https://arxiv.org/abs/2403.17806,GPT-2,GPT-2 Small,124000000,,,25.83
J. Bloom and J. Lin. Understanding SAE features with the logit lens. ,2024-03-10,https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-with-the-logit-lens,GPT-2,GPT-2 Small,124000000,,,25.83
"R. Krzyzanowski, C. Kissane, A. Conmy, and N. Nanda. We inspected every head in GPT-2 small using saes
so you don’t have to.",2024-03-06,https://www.alignmentforum.org/posts/xmegeW5mqiBsvoaim/we-inspected-every-head-in-gpt-2-small-using-saes-so-you-don,GPT-2,GPT-2 Small,124000000,,,25.83
J. Bloom. Open source sparse autoencoders for all residual stream layers of GPT2 small. ,2024-02-02,https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-autoencoders-for-all-residual-stream,GPT-2,GPT-2 Small,124000000,,,25.83
"Z. Wu, A. Geiger, J. Huang, A. Arora, T. Icard, C. Potts, and N. D. Goodman. A reply to makelov et al. (2023)’s
""interpretability illusion"" arguments.",2024-01-23,https://arxiv.org/abs/2401.12631,GPT-2,GPT-2 Small,124000000,,,25.83
"K. Ethayarajh. How contextual are contextualized word representations? Comparing the geometry of BERT,
ELMo, and GPT-2 embeddings. ",2019-09-02,https://arxiv.org/abs/1909.00512,GPT-2,GPT-2 Small,124000000,"BERT, ELMo, and GPT-2",,25.83
J. Vig. A multiscale visualization of attention in the transformer model. ,2019-06-12,https://arxiv.org/abs/1906.05714,GPT-2,GPT-2 Small,124000000,bert-base,,25.83
"I. Tenney, P. Xia, B. Chen, A. Wang, A. Poliak, R. T. McCoy, N. Kim, B. V. Durme, S. Bowman, D. Das,
and E. Pavlick. What do you learn from context? probing for sentence structure in contextualized word
representations. ",2019-05-15,https://arxiv.org/abs/1905.06316,GPT-2,GPT-2 Small,124000000,"CoVe, ELMo, GPT, and BERT",,25.83
"M. Sakarvadia, A. Khan, A. Ajith, D. Grzenda, N. Hudson, A. Bauer, K. Chard, and I. Foster. Attention lens:
A tool for mechanistically interpreting the attention head information retrieval mechanism.",2023-10-25,https://arxiv.org/abs/2310.16270,GPT-2,GPT-2 Small,124000000,GPT2-small,,25.83
R. Molina. Traveling words: A geometric interpretation of transformers.,2023-09-13,https://arxiv.org/abs/2309.07315,GPT-2,GPT-2 Small,124000000,gpt2-small,,25.83
"M. Hanna, O. Liu, and A. Variengien. How does GPT-2 compute greater-than?: Interpreting mathematical
abilities in a pre-trained language model.",2023-04-30,https://arxiv.org/abs/2305.00586,GPT-2,GPT-2 Small,124000000,GPT2-small,,25.83
"K. R. Wang, A. Variengien, A. Conmy, B. Shlegeris, and J. Steinhardt. Interpretability in the wild: a circuit
for indirect object identification in GPT-2 small. ",2022-11-01,https://arxiv.org/abs/2211.00593,GPT-2,GPT-2 Small,124000000,GPT-2 Small,,25.83
"M. Geva, A. Caciularu, K. Wang, and Y. Goldberg. Transformer feed-forward layers build predictions by
promoting concepts in the vocabulary space. ",2022-03-28,https://arxiv.org/abs/2203.14680,GPT-2,GPT-2 Small,124000000,WikiLM and GPT2-small,,25.83
nostalgebraist. Interpreting GPT: the logit lens.,2020-08-30,https://www.alignmentforum.org/posts/AcKRB8wDpdaN6v6ru/interpreting-gpt-the-logit-lens,GPT-2,GPT-2 Small,124000000,Gpt2,,25.83
"C. Tigges, O. J. Hollinsworth, A. Geiger, and N. Nanda. Linear representations of sentiment in large language
models.",2023-10-23,https://arxiv.org/abs/2310.15154,GPT-2,GPT-2 Small,124000000,pythia 85m to 2.8b,,25.83
"B. Hoover, H. Strobelt, and S. Gehrmann. exBERT: A Visual Analysis Tool to Explore Learned Representations
in Transformer Models.",2019-10-11,https://arxiv.org/abs/1910.05276,GPT-2,GPT-2 Small,124000000,BERT,,25.83
"N. Stoehr, M. Gordon, C. Zhang, and O. Lewis. Localizing paragraph memorization in language models.",2024-03-28,https://arxiv.org/abs/2403.19851,GPT-Neo,GPT-Neo 125M,125000000,,,25.97
J. Ferrando and E. Voita. Information flow routes: Automatically interpreting language models at scale. ,2024-02-27,https://arxiv.org/abs/2403.00824,OPT,OPT 125M,125000000,and gpt2-small,,26.02
"B.-D. Oh and W. Schuler. Token-wise decomposition of autoregressive language model hidden states for
analyzing model predictions. ",2023-05-17,https://arxiv.org/abs/2305.10614,OPT,OPT 125M,125000000,,,26.02
"H. Mohebbi, W. Zuidema, G. Chrupała, and A. Alishahi. Quantifying context mixing in transformers.",2023-01-30,https://arxiv.org/abs/2301.12971,RoBERTa,RoBERTa-base,125000000,"bert-base, electra-base (110M)",,27.9
"X. Wang, K. Wen, Z. Zhang, L. Hou, Z. Liu, and J. Li. Finding skill neurons in pre-trained transformer-based
language models. ",2022-11-14,https://arxiv.org/abs/2211.07349,RoBERTa,RoBERTa-base,125000000,,,27.9
"G. Puccetti, A. Rogers, A. Drozd, and F. Dell’Orletta. Outlier dimensions that disrupt transformers are driven by
frequency. ",2022-05-23,https://arxiv.org/abs/2205.11380,RoBERTa,RoBERTa-base,125000000,bert-base 110M,,27.9
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Incorporating Residual and Normalization Layers into
Analysis of Masked Language Models.",2021-09-15,https://arxiv.org/abs/2109.07152,RoBERTa,RoBERTa-base,125000000,bert-base 110M,,27.9
"Z. Luo, A. Kulmizev, and X. Mao. Positional artefacts propagate through masked language model embeddings.
",2020-11-09,https://arxiv.org/abs/2011.04393,RoBERTa,RoBERTa-base,125000000,"BERT-base, RoBERTa-base",,27.9
"A. Modarressi, M. Fayyaz, E. Aghazadeh, Y. Yaghoobzadeh, and M. T. Pilehvar. DecompX: Explaining transformers decisions by propagating token decomposition.",2023-06-05,https://arxiv.org/abs/2306.02873,RoBERTa,RoBERTa-base,125000000,also studied bert-base-uncased 110m,,27.9
"N. De Cao, W. Aziz, and I. Titov. Editing factual knowledge in language models.",2021-04-16,https://arxiv.org/abs/2104.08164,BART,BART base,139000000,BERT (fintuned),,0
C. Rushing and N. Nanda. Explorations of self-repair in language models.,2024-02-23,https://arxiv.org/abs/2402.15390,Pythia,Pythia 160M,160000000,,,24.86
"W. Merrill, V. Ramanujan, Y. Goldberg, R. Schwartz, and N. A. Smith. Effects of parameter norm growth
during transformer training: Inductive bias from gradient descent. ",2020-10-19,https://arxiv.org/abs/2010.09697,t5,t5-base,220000000,,,0
"A. Y. Din, T. Karidi, L. Choshen, and M. Geva. Jump to conclusions: Short-cutting transformers with linear
transformations.",2023-03-16,https://arxiv.org/abs/2303.09435,BERT,BERT-large,340000000,also studied gpt-2 and bert-base-uncase,,0
"A. Modarressi, M. Fayyaz, Y. Yaghoobzadeh, and M. T. Pilehvar. GlobEnc: Quantifying global token attribution by incorporating the whole encoder layer in transformers. ",2022-05-06,https://arxiv.org/abs/2205.03286,BERT,BERT-large,340000000,also studied bert-base-uncased 110m and electra 335m,,0
"A. Rogers, O. Kovaleva, and A. Rumshisky. A Primer in BERTology: What We Know About How BERT
Works. ",2020-02-27,https://arxiv.org/abs/2002.12327,BERT,BERT-large,340000000,,,0
"T. Bolukbasi, A. Pearce, A. Yuan, A. Coenen, E. Reif, F. Viégas, and M. Wattenberg. An interpretability illusion
for BERT.",2021-04-21,https://arxiv.org/abs/2104.07143,BERT,BERT-large,340000000,,,0
"V. Lal, A. Ma, E. Aflalo, P. Howard, A. Simoes, D. Korat, O. Pereg, G. Singer, and M. Wasserblat. InterpreT: An
interactive visualization tool for interpreting transformers.",2021-04-19,https://aclanthology.org/2021.eacl-demos.17,BERT,BERT-large,340000000,,no arxiv,0
"T. Pimentel, J. Valvoda, R. H. Maudslay, R. Zmigrod, A. Williams, and R. Cotterell. Information-theoretic
probing for linguistic structure.",2020-04-07,https://arxiv.org/abs/2004.03061,BERT,BERT-large,340000000,also used fastText and one-hot encoding vectors,,0
"Y. Lin, Y. C. Tan, and R. Frank. Open sesame: Getting inside BERT’s linguistic knowledge. ",2019-06-04,https://arxiv.org/abs/1906.01698,BERT,BERT-large,340000000,notes,,0
"T. McCoy, E. Pavlick, and T. Linzen. Right for the wrong reasons: Diagnosing syntactic heuristics in natural
language inference.",2019-02-04,https://arxiv.org/abs/1902.01007,BERT,BERT-large,340000000,"used BERT, ESIM, SPINN, and DA. BERT is the only transformer. ESIM is an RNN, SPINN is a TreeRNN, DA is a bag-of-words.",,0
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Analyzing feed-forward blocks in transformers through
the lens of attention map. ",2023-02-01,https://arxiv.org/abs/2302.00456,BERT,BERT-large,340000000,"but also many other smaller models, incl. 5 other variants of BERT and GPT-2-small",,0
J. Hewitt and C. D. Manning. A structural probe for finding syntax in word representations.,2019-06-01,https://aclanthology.org/N19-1419,BERT,BERT-large,340000000,"bert-base (110M9, elmo-base (130M)",,0
"I. Tenney, D. Das, and E. Pavlick. BERT rediscovers the classical NLP pipeline.",2019-05-15,https://arxiv.org/abs/1905.05950,BERT,BERT-large,340000000,,,0
"N. De Cao, M. S. Schlichtkrull, W. Aziz, and I. Titov. How do decisions emerge across layers in neural models?
interpretation with differentiable masking. ",2020-04-30,https://arxiv.org/abs/2004.14992,BERT,BERT-large,340000000,"BERT-based, BERTLarge",,0
"N. F. Liu, M. Gardner, Y. Belinkov, M. E. Peters, and N. A. Smith. Linguistic knowledge and transferability of contextual representations. ",2019-03-21,https://arxiv.org/abs/1903.08855,BERT,BERT-large,340000000,"BERT (based, large) ELMO, gpt2",,0
"S. Yang, S. Huang, W. Zou, J. Zhang, X. Dai, and J. Chen. Local interpretation of transformer based on linear
decomposition.",2023-07-09,https://aclanthology.org/2023.acl-long.572,RoBERTa,RoBERTa-large,354000000,math paper but they used roberta for experiments,,0
S. Sanyal and X. Ren. Discretized integrated gradients for explaining language models. ,2021-08-31,https://arxiv.org/abs/2108.13654,RoBERTa,RoBERTa-large,354000000,"they use BERT (3.4E8) DistilBERT (6.6E7), and RoBERTa (3.54E8)",,0
"S. Katz, Y. Belinkov, M. Geva, and L. Wolf. Backward lens: Projecting language model gradients into the
vocabulary space.",2024-02-20,https://arxiv.org/abs/2402.12865,GPT-2,GPT-2 Medium,355000000,,,0
"A. Haviv, I. Cohen, J. Gidron, R. Schuster, Y. Goldberg, and M. Geva. Understanding transformer memorization
recall through idioms.",2022-10-07,https://arxiv.org/abs/2210.03588,GPT-2,GPT-2 Medium,355000000,"also studied ROBERTA-BASE 125m, T5-BASE 223m, ELECTRA-BASE-GENERATOR 110m",,0
"G. Dar, M. Geva, A. Gupta, and J. Berant. Analyzing transformers in embedding space.",2022-09-06,https://arxiv.org/abs/2209.02535,GPT-2,GPT-2 Medium,355000000,,,0
S. Katz and Y. Belinkov. VISIT: Visualizing and interpreting the semantic information flow of transformers.,2023-05-22,https://arxiv.org/abs/2305.13417,GPT-2,GPT-2 Medium,355000000,,,0
"J. Merullo, C. Eickhoff, and E. Pavlick. Circuit component reuse across tasks in transformer language models.",2023-10-12,https://arxiv.org/abs/2310.08744,GPT-2,GPT-2 Medium,355000000,,,0
"M. A. Lepori, T. Serre, and E. Pavlick. Uncovering intermediate variables in transformers using circuit probing.",2023-11-07,https://arxiv.org/abs/2311.04354,GPT-2,GPT-2 Medium,355000000,GPT2-Small and GPT2-Medium,,0
"W. Rudman, C. Chen, and C. Eickhoff. Outlier dimensions encode task specific knowledge.",2023-10-26,https://arxiv.org/abs/2310.17715,Pythia,Pythia 410M,410000000,"GPT2, BERT, ALBERT, DistilBERT, Pythia-70M, Pythia-160M, Pythia-410M",,25.99
"H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey. Sparse autoencoders find highly interpretable
features in language models.",2023-09-15,https://arxiv.org/abs/2309.08600,Pythia,Pythia 410M,410000000,and 110M,,25.99
"J. Ferrando, G. I. Gállego, B. Alastruey, C. Escolano, and M. R. Costa-jussà. Towards opening the black
box of neural machine translation: Source and target interpretations of the transformer.",2022-05-23,https://arxiv.org/abs/2205.11631,M2M,M2M100,418000000,,,0
"N. Durrani, F. Dalvi, and H. Sajjad. Discovering salient neurons in deep nlp models. ",2022-06-27,https://arxiv.org/abs/2206.13288,XLM-RoBERTa,XLM-RoBERTa-large,550000000,"BERT, ROBERTA and XLNET",,0
C. Fierro and A. Søgaard. Factual consistency of multilingual pretrained language models. ,2022-03-22,https://arxiv.org/abs/2203.11552,XLM-RoBERTa,XLM-RoBERTa-large,550000000,,,0
"E. Akyurek, T. Bolukbasi, F. Liu, B. Xiong, I. Tenney, J. Andreas, and K. Guu. Towards tracing knowledge
in language models back to the training data. ",2022-05-23,https://arxiv.org/abs/2205.11482,mt5,mt5,580000000,,,0
"G. Sarti, G. Chrupała, M. Nissim, and A. Bisazza. Quantifying the plausibility of context reliance in neural
machine translation. ",2023-10-02,https://arxiv.org/abs/2310.01188,MBART,MBART,680000000,,,0
"E. Mitchell, C. Lin, A. Bosselut, C. D. Manning, and C. Finn. Memory-based model editing at scale. ",2022-06-13,https://arxiv.org/abs/2206.06520,t5,t5-large,770000000,"BERT-base (110M), BlenderBot-90M",,0
"R. Nogueira, Z. Jiang, and J. Lin. Investigating the limitations of transformers with simple arithmetic tasks,
2021.",2021-02-25,https://arxiv.org/abs/2102.13019,t5,t5-large,770000000,T5 models (except 11B),,0
"C. Guerner, A. Svete, T. Liu, A. Warstadt, and R. Cotterell. A geometric notion of causal probing.",2023-07-23,https://arxiv.org/abs/2307.15054,GPT-2,GPT-2 Large,774000000,,,26.07
B. Millidge and S. Black. The singular value decompositions of transformer weight matrices are highly interpretable. ,2022-11-28,https://www.alignmentforum.org/posts/mkbGjzxD8d8XqKHzA/the-singular-value-decompositions-of-transformer-weight,GPT-2,GPT-2 Large,774000000,,,26.07
"C. Neo, S. B. Cohen, and F. Barez. Interpreting context look-ups in transformers: Investigating attention-mlp
interactions.",2024-02-23,https://arxiv.org/abs/2402.15055,GPT-2,GPT-2 Large,774000000,,,26.07
"X. Suau, L. Zappella, and N. Apostoloff. Self-conditioning pre-trained language models.",2021-09-30,https://arxiv.org/abs/2110.02802,GPT-2,GPT-2 Large,774000000,,,26.07
"X. Suau, L. Zappella, and N. Apostoloff. Finding experts in transformer models.",2020-05-15,https://arxiv.org/abs/2005.07647,GPT-2,GPT-2 Large,774000000,"RoBERTa-L, Distilbert, XLM, Bert-B, GPT2-S, Bert-L, GPT2-M",,26.07
"M. Geva, A. Caciularu, G. Dar, P. Roit, S. Sadde, M. Shlain, B. Tamir, and Y. Goldberg. LM-debugger: An interactive tool for inspection and intervention in transformer-based language models. ",2022-04-26,https://arxiv.org/abs/2204.12130,GPT-2,GPT-2 Large,774000000,GPT2 (Medium and Large),,26.07
"O. Kovaleva, S. Kulshreshtha, A. Rogers, and A. Rumshisky. BERT busters: Outlier dimensions that disrupt
transformers.",2021-05-14,https://arxiv.org/abs/2105.06990,GPT-2,GPT-2 Large,774000000,"ELECTRA, XLNet, BART, GPT2",,26.07
"J. Ferrando, G. I. Gállego, I. Tsiamas, and M. R. Costa-jussà. Explaining how transformers use context to
build predictions. ",2023-05-21,https://arxiv.org/abs/2305.12535,GPT-2,GPT-2 XL,1500000000,"GPT-2 XL (1.5B) model (Radford et al., 2019), as in (Yin and Neubig, 2022), as well as other autoregressive Transformer language mod- els, such as GPT-2 Small (124M), and GPT-2 Large models (774M), OPT 125M (Zhang et al., 2022b), and BLOOM’s 560M and 1.1B variants",,32.4
"Q. Yu, J. Merullo, and E. Pavlick. Characterizing mechanisms for factual recall in language models.",2023-10-24,https://arxiv.org/abs/2310.15910,GPT-2,GPT-2 XL,1500000000,"pythia, gpt2",,32.4
"Z. Wu, K. D’Oosterlinck, A. Geiger, A. Zur, and C. Potts. Causal proxy models for concept-based model explanations.",2022-09-28,https://arxiv.org/abs/2209.14279,GPT-2,GPT-2 XL,1500000000,"bert-base-uncased, RoBERTa-base, gpt-2",,32.4
S. Rajamanoharan. Progress update 1 from the gdm mech interp team. improving ghost grads.,2024-04-19,https://www.alignmentforum.org/posts/C5KAZQib3bzzpeyrg/progress-update-1-from-the-gdm-mech-interp-team-full-update,GPT-2,GPT-2 XL,1500000000,,,32.4
"F. Zhang and N. Nanda. Towards best practices of activation patching in language models: Metrics and methods.
",2023-09-27,https://arxiv.org/abs/2309.16042,GPT-2,GPT-2 XL,1500000000,GPT-small,,32.4
"J. Huang, A. Geiger, K. D’Oosterlinck, Z. Wu, and C. Potts. Rigorously assessing natural language explanations
of neurons.",2023-09-19,https://arxiv.org/abs/2309.10312,GPT-2,GPT-2 XL,1500000000,,,32.4
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Transformer language models handle word frequency
in prediction head.",2023-05-23,https://arxiv.org/abs/2305.18294,GPT-2,GPT-2 XL,1500000000,"gpt-2-small to -large, bert-base and -large",,32.4
"W. Gurnee, T. Horsley, Z. C. Guo, T. R. Kheirkhah, Q. Sun, W. Hathaway, N. Nanda, and D. Bertsimas.
Universal neurons in gpt2 language models.",2024-01-22,https://arxiv.org/abs/2401.12181,GPT-2,GPT-2 XL,1500000000,,,32.4
"K. Meng, D. Bau, A. Andonian, and Y. Belinkov. Locating and editing factual associations in GPT.",2022-02-10,https://arxiv.org/abs/2202.05262,GPT-2,GPT-2 XL,1500000000,GPT-2 XL (1.5B parameters),,32.4
"J. Vig, S. Gehrmann, Y. Belinkov, S. Qian, D. Nevo, Y. Singer, and S. Shieber. Investigating gender bias in
language models using causal mediation analysis.",2020-12-6,https://dl.acm.org/doi/10.5555/3495724.3496763,GPT-2,GPT-2 XL,1500000000,"gpt2 small, medium, large, extra-large",,32.4
S. Heimersheim and A. Turner. Residual stream norms grow exponentially over the forward pass.,2023-05-06,https://www.alignmentforum.org/posts/8mizBCm3dyc432nK8/residual-stream-norms-grow-exponentially-over-the-forward,GPT-2,GPT-2 XL,1500000000,"gpt2-small, gpt2-xl",,32.4
"N. Goldowsky-Dill, C. MacLeod, L. Sato, and A. Arora. Localizing model behavior with path patching.",2023-04-12,https://arxiv.org/abs/2304.05969,GPT-2,GPT-2 XL,1500000000,"GPT-2 small, GPT2-XL",,32.4
"B. Chughtai, A. Cooney, and N. Nanda. Summing up the facts: Additive mechanisms behind factual recall in
llms.",2024-02-11,https://arxiv.org/abs/2402.07321,GPT-2,GPT-2 XL,1500000000,"pythia 2.8b, gpt-j",,32.4
B. Millidge and E. Winsor. Basic facts about language model internals. ,2023-01-04,https://www.alignmentforum.org/posts/PDLfpRwSynu73mxGw/basic-facts-about-language-model-internals-1,GPT-2,GPT-2 XL,1500000000,,,32.4
"N. Belrose, Z. Furman, L. Smith, D. Halawi, I. Ostrovsky, L. McKinney, S. Biderman, and J. Steinhardt.
Eliciting latent predictions from transformers with the tuned lens.",2023-03-14,https://arxiv.org/abs/2303.08112,GPT-Neo,GPT-Neo 2.7B,2700000000,,,26.45
K. Yin and G. Neubig. Interpreting language models with contrastive explanations. ,2022-02-21,https://arxiv.org/abs/2202.10419,GPT-Neo,GPT-Neo 2.7B,2700000000,GPT-2 (1.5B parameters) and GPT-Neo (2.7 B),,26.45
"Q. Liu, Y. Chai, S. Wang, Y. Sun, K. Wang, and H. Wu. On training data influence of gpt models. ",2024-04-11,https://arxiv.org/abs/2404.07840,Pythia,Pythia 2.8B,2800000000,Pythia (range of sizes),,25.86
"J. Qi, R. Fernández, and A. Bisazza. Cross-lingual consistency of factual knowledge in multilingual language
models.",2023-10-16,https://arxiv.org/abs/2310.10378,bloom,BLOOM (3B),3000000000,"Previous work on multilingual knowl- edge probing (Jiang et al., 2020; Kassner et al., 2021) focused on encoder-only PLMs, such as mBERT (Devlin et al., 2019) or XLM-RoBERTa (Liu et al., 2019). However, since decoder-only PLMs have become mainstream in the current NLP era, our experiments also include the decoder-only BLOOM series (560m, 1.1b, 1.7b, 3b parameters) (Scao et al., 2022) and the encoder-decoder mT5- large (1.2b) (Xue et al., 2021), in addition to the encoder-only XLM-RoBERTa-large (354m).",,26.59
