paper,publication date (first revision),link,model family,model,param count,notes,
"S. Ravfogel, M. Twiton, Y. Goldberg, and R. D. Cotterell. Linear adversarial concept erasure. ",2022-01-28,https://arxiv.org/abs/2201.12091,,BERT,340000000,didnt specify whether they used the big or small version of BERT,
"K. Clark, U. Khandelwal, O. Levy, and C. D. Manning. What does BERT look at? an analysis of BERT’s
attention.",2019-06-11,https://arxiv.org/abs/1906.04341,,bert-base,110000000,,
"J. DeYoung, S. Jain, N. F. Rajani, E. Lehman, C. Xiong, R. Socher, and B. C. Wallace. ERASER: A benchmark
to evaluate rationalized NLP models.",2019-11-08,https://arxiv.org/abs/1911.03429v1,,bert-base,120000000,,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Attention is not only a weight: Analyzing transformers
with vector norms.",2020-04-21,https://arxiv.org/abs/2004.10102,,BERT-base,110000000,,
"X. Han, B. C. Wallace, and Y. Tsvetkov. Explaining black box predictions and unveiling data artifacts
through influence functions.",2020-05-14,https://arxiv.org/abs/2005.06676,bert,BERT-base,110000000,,
"H. Chefer, S. Gur, and L. Wolf. Transformer interpretability beyond attention visualization.",2020-10-17,https://arxiv.org/abs/2012.09838,bert,BERT-base,110000000,,
"J. Bastings, S. Ebert, P. Zablotskaia, A. Sandholm, and K. Filippova. “will you find these shortcuts?” a
protocol for evaluating the faithfulness of input salience methods for text classification. ",2021-11-14,https://arxiv.org/abs/2111.07367,,bert-base,110000000,,
"J. Ferrando, G. I. Gállego, and M. R. Costa-jussà. Measuring the mixing of contextual information in the
transformer.",2022-03-08,https://arxiv.org/abs/2203.04212,,bert-base,120000000,"BERT, DistilBERT and RoBERTa",
J. Enguehard. Sequential integrated gradients: a simple but effective method for explaining language models. ,2023-05-25,https://arxiv.org/abs/2305.15853,,bert-base,120000000,"BERT, DistilBERT and RoBERTa",
"A. Geiger, Z. Wu, C. Potts, T. Icard, and N. D. Goodman. Finding alignments between interpretable causal
variables and distributed neural representations.",2023-03-05,https://arxiv.org/abs/2303.02536,bert,BERT-base-uncased,110000000,,
"N. Belrose, D. Schneider-Joseph, S. Ravfogel, R. Cotterell, E. Raff, and S. Biderman. LEACE: Perfect linear
concept erasure in closed form.",2023-06-06,https://arxiv.org/abs/2306.03819,bert,BERT-base-uncased,110000000,,
"Y. Bondarenko, M. Nagel, and T. Blankevoort. Quantizable transformers: Removing outliers by helping attention heads do nothing. ",2023-06-22,https://arxiv.org/abs/2306.12929,bert,BERT-base-uncased,110000000,notes,
"T. Mickus, D. Paperno, and M. Constant. How to dissect a Muppet: The structure of transformer embedding
spaces.",2022-06-07,https://arxiv.org/abs/2206.03529,,bert-based-uncased,110000000,"some of the other BERT papers may have used bert-based-uncased, one of the smaller versions, as well. They have typically been slightly unclear about it.",
J. Hewitt and C. D. Manning. A structural probe for finding syntax in word representations.,2019-06-01,https://aclanthology.org/N19-1419,,bert-large,340000000,"bert-base (110M9, elmo-base (130M)",
"I. Tenney, D. Das, and E. Pavlick. BERT rediscovers the classical NLP pipeline.",2019-05-15,https://arxiv.org/abs/1905.05950,,BERT-LARGE,340000000,,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Analyzing feed-forward blocks in transformers through
the lens of attention map. ",2023-02-01,https://arxiv.org/abs/2302.00456,bert,BERT-large,340000000,"but also many other smaller models, incl. 5 other variants of BERT and GPT-2-small",
"A. Rogers, O. Kovaleva, and A. Rumshisky. A Primer in BERTology: What We Know About How BERT
Works. ",2020-02-27,https://arxiv.org/abs/2002.12327,bert,bert-large-uncased,336000000,,
"A. Modarressi, M. Fayyaz, Y. Yaghoobzadeh, and M. T. Pilehvar. GlobEnc: Quantifying global token attribution by incorporating the whole encoder layer in transformers. ",2022-05-06,https://arxiv.org/abs/2205.03286,,bert-large-uncased,336000000,also studied bert-base-uncased 110m and electra 335m,
"A. Y. Din, T. Karidi, L. Choshen, and M. Geva. Jump to conclusions: Short-cutting transformers with linear
transformations.",2023-03-16,https://arxiv.org/abs/2303.09435,,bert-large-uncased,336000000,also studied gpt-2 and bert-base-uncase,
"J. Ferrando, G. I. Gállego, I. Tsiamas, and M. R. Costa-jussà. Explaining how transformers use context to
build predictions. ",2023-05-21,https://arxiv.org/abs/2305.12535,,BLOOM,1100000000,"GPT-2 XL (1.5B) model (Radford et al., 2019), as in (Yin and Neubig, 2022), as well as other autoregressive Transformer language mod- els, such as GPT-2 Small (124M), and GPT-2 Large models (774M), OPT 125M (Zhang et al., 2022b), and BLOOM’s 560M and 1.1B variants",
"J. Merullo, C. Eickhoff, and E. Pavlick. A mechanism for solving relational tasks in transformer language
models.",2023-05-25,https://arxiv.org/abs/2305.16130,,BLOOM,176000000000,"GPT-2 (all variants), GPT-J",
"J. Qi, R. Fernández, and A. Bisazza. Cross-lingual consistency of factual knowledge in multilingual language
models.",2023-10-16,https://arxiv.org/abs/2310.10378,,BLOOM,3000000000,"Previous work on multilingual knowl- edge probing (Jiang et al., 2020; Kassner et al., 2021) focused on encoder-only PLMs, such as mBERT (Devlin et al., 2019) or XLM-RoBERTa (Liu et al., 2019). However, since decoder-only PLMs have become mainstream in the current NLP era, our experiments also include the decoder-only BLOOM series (560m, 1.1b, 1.7b, 3b parameters) (Scao et al., 2022) and the encoder-decoder mT5- large (1.2b) (Xue et al., 2021), in addition to the encoder-only XLM-RoBERTa-large (354m).",
"T. Lieberum, M. Rahtz, J. Kramár, N. Nanda, G. Irving, R. Shah, and V. Mikulik. Does circuit analysis
interpretability scale? evidence from multiple choice capabilities in chinchilla.",2023-07-18,https://arxiv.org/abs/2307.09458,,Chinchilla,70000000000,Deepmind paper,
"T. McGrath, M. Rahtz, J. Kramar, V. Mikulik, and S. Legg. The hydra effect: Emergent self-repair in language
model computations.",2023-07-23,https://arxiv.org/abs/2307.15771,,Chinchilla,7000000000,,
J. Hewitt and P. Liang. Designing and interpreting probes with control tasks. ,2019-09-08,https://arxiv.org/abs/1909.03368,,elmo,130000000,,
E. Voita and I. Titov. Information-theoretic probing with minimum description length. ,2020-03-27,https://arxiv.org/abs/2003.12298,,ELMo,5500000000,,
"A. Langedijk, H. Mohebbi, G. Sarti, W. Zuidema, and J. Jumelet. Decoderlens: Layerwise interpretation of
encoder-decoder transformers.",2023-10-05,https://arxiv.org/abs/2310.03686,,flan-t5,11300000000,"also studied: custom small transformer, nllb-600m and whisper",
"S. Rajamanoharan, A. Conmy, L. Smith, T. Lieberum, V. Varma, J. Kramár, R. Shah, and N. Nanda. Improving
dictionary learning with gated sparse autoencoders. ",2024-04-24,https://arxiv.org/abs/2404.16014,,Gemma-7B,7000000000,also used pythia-2.8B and gelu-1l (3.1M),
"B. Hoover, H. Strobelt, and S. Gehrmann. exBERT: A Visual Analysis Tool to Explore Learned Representations
in Transformer Models.",2019-10-11,https://arxiv.org/abs/1910.05276,,gpt-2,137000000,BERT,(date from arxiv)
"Z. Wu, K. D’Oosterlinck, A. Geiger, A. Zur, and C. Potts. Causal proxy models for concept-based model explanations.",2022-09-28,https://arxiv.org/abs/2209.14279,,GPT-2,1500000000,"bert-base-uncased, RoBERTa-base, gpt-2",
"C. Guerner, A. Svete, T. Liu, A. Warstadt, and R. Cotterell. A geometric notion of causal probing.",2023-07-23,https://arxiv.org/abs/2307.15054,,gpt-2,774000000,,
"C. Tigges, O. J. Hollinsworth, A. Geiger, and N. Nanda. Linear representations of sentiment in large language
models.",2023-10-23,https://arxiv.org/abs/2310.15154,,gpt-2,137000000,pythia 85m to 2.8b,
"B. Chughtai, A. Cooney, and N. Nanda. Summing up the facts: Additive mechanisms behind factual recall in
llms.",2024-02-11,https://arxiv.org/abs/2402.07321,,gpt-2,1610000000,"pythia 2.8b, gpt-j",
B. Millidge and S. Black. The singular value decompositions of transformer weight matrices are highly interpretable. ,2022-11-28,https://www.alignmentforum.org/posts/mkbGjzxD8d8XqKHzA/the-singular-value-decompositions-of-transformer-weight,,gpt-2,774000000,notes,
B. Millidge and E. Winsor. Basic facts about language model internals. ,2023-01-04,https://www.alignmentforum.org/posts/PDLfpRwSynu73mxGw/basic-facts-about-language-model-internals-1,,gpt-2,1610000000,,
"C. Neo, S. B. Cohen, and F. Barez. Interpreting context look-ups in transformers: Investigating attention-mlp
interactions.",2024-02-23,https://arxiv.org/abs/2402.15055,gpt-2,gpt-2 large,774000000,,
"A. Haviv, I. Cohen, J. Gidron, R. Schuster, Y. Goldberg, and M. Geva. Understanding transformer memorization
recall through idioms.",2022-10-07,https://arxiv.org/abs/2210.03588,,gpt-2 medium,355000000,"also studied ROBERTA-BASE 125m, T5-BASE 223m, ELECTRA-BASE-GENERATOR 110m",
"A. Conmy, A. Mavor-Parker, A. Lynch, S. Heimersheim, and A. Garriga-Alonso. Towards automated circuit
discovery for mechanistic interpretability. ",2023-04-28,https://arxiv.org/abs/2304.14997,,gpt-2 small,124000000,,
"A. Syed, C. Rager, and A. Conmy. Attribution patching outperforms automated circuit discovery.",2023-10-16,https://arxiv.org/abs/2310.10348,,gpt-2 small,124000000,,
N. Nanda. Attribution patching: Activation patching at industrial scale.,2023-02-04,https://www.neelnanda.io/mechanistic-interpretability/attribution-patching,gpt-2,gpt-2 small,124000000,,
"G. Dar, M. Geva, A. Gupta, and J. Berant. Analyzing transformers in embedding space.",2022-09-06,https://arxiv.org/abs/2209.02535,,GPT-2-medium,355000000,,
"C. McDougall, A. Conmy, C. Rushing, T. McGrath, and N. Nanda. Copy suppression: Comprehensively
understanding an attention head.",2023-10-06,https://arxiv.org/abs/2310.04625,,gpt-2-small,124000000,,
"C. Kissane, R. Krzyzanowski, A. Conmy, and N. Nanda. Attention saes scale to gpt-2 small. ",2024-02-03,https://www.alignmentforum.org/posts/FSTRedtjuHa4Gfdbr/attention-saes-scale-to-gpt-2-small,gpt-2,gpt-2-small,124000000,,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Transformer language models handle word frequency
in prediction head.",2023-05-23,https://arxiv.org/abs/2305.18294,,gpt-2-xl,1500000000,"gpt-2-small to -large, bert-base and -large",
"J. Huang, A. Geiger, K. D’Oosterlinck, Z. Wu, and C. Potts. Rigorously assessing natural language explanations
of neurons.",2023-09-19,https://arxiv.org/abs/2309.10312,,gpt-2-xl,1500000000,,
"F. Zhang and N. Nanda. Towards best practices of activation patching in language models: Metrics and methods.
",2023-09-27,https://arxiv.org/abs/2309.16042,,GPT-2-XL,1500000000,GPT-small,
S. Rajamanoharan. Progress update 1 from the gdm mech interp team. improving ghost grads.,2024-04-19,https://www.alignmentforum.org/posts/C5KAZQib3bzzpeyrg/progress-update-1-from-the-gdm-mech-interp-team-full-update,,GPT-2-XL,1500000000,,
"B. Deiseroth, M. Deb, S. Weinbach, M. Brack, P. Schramowski, and K. Kersting. Atman: Understanding transformer predictions through memory efficient attention manipulation.",2023-01-19,https://arxiv.org/abs/2301.08110,,gpt-j,6000000000,,
"E. Hernandez, A. S. Sharma, T. Haklay, K. Meng, M. Wattenberg, J. Andreas, Y. Belinkov, and D. Bau. Linearity of relation decoding in transformer language models. ",2023-08-17,https://arxiv.org/abs/2308.09124,,GPT-J,6000000000,"in appendix: GPT-2-XL, Llama-13B",
"A. Gupta, A. Rao, and G. K. Anumanchipalli. Model editing at scale leads to gradual and catastrophic forgetting. ",2024-01-15,https://arxiv.org/abs/2401.07453,,GPT-J,6000000000,also studied gpt2-xl 1.5b,
"K. Meng, A. S. Sharma, A. J. Andonian, Y. Belinkov, and D. Bau. Mass-editing memory in a transformer.",2022-10-13,https://arxiv.org/abs/2210.07229,,GPT-NeoX,20000000000,GPT-J (6B) and GPT-NeoX (20B),
"Y. Yao, P. Wang, B. Tian, S. Cheng, Z. Li, S. Deng, H. Chen, and N. Zhang. Editing large language models:
Problems, methods, and opportunities.",2023-05-22,https://arxiv.org/abs/2305.13172,,GPT-NEOX-20B,20000000000,"T5-XL, GPT-J, OPT-13B, GPT-NEOX-20B",
"W. Timkey and M. van Schijndel. All bark and no bite: Rogue dimensions in transformer language models
obscure representational quality. ",2021-09-09,https://arxiv.org/abs/2109.04404,,GPT2,117000000,"BERT, RoBERTa, GPT-2, XLNet (gpt2, xlnet-base-cased, bert-base-cased, roberta-base)",
S. Katz and Y. Belinkov. VISIT: Visualizing and interpreting the semantic information flow of transformers.,2023-05-22,https://arxiv.org/abs/2305.13417,,GPT2,355000000,,
"W. Rudman, C. Chen, and C. Eickhoff. Outlier dimensions encode task specific knowledge.",2023-10-26,https://arxiv.org/abs/2310.17715,,GPT2,410000000,"GPT2, BERT, ALBERT, DistilBERT, Pythia-70M, Pythia-160M, Pythia-410M",
"S. Katz, Y. Belinkov, M. Geva, and L. Wolf. Backward lens: Projecting language model gradients into the
vocabulary space.",2024-02-20,https://arxiv.org/abs/2402.12865,gpt-2,GPT2,330000000,"I'm quoting the parameter count they mention in the paper, but everyone seems to think gpt2-medium has a different number of parameters.",
"X. Suau, L. Zappella, and N. Apostoloff. Finding experts in transformer models.",2020-05-15,https://arxiv.org/abs/2005.07647,,GPT2-L,774000000,"RoBERTa-L, Distilbert, XLM, Bert-B, GPT2-S, Bert-L, GPT2-M",
"X. Suau, L. Zappella, and N. Apostoloff. Self-conditioning pre-trained language models.",2021-09-30,https://arxiv.org/abs/2110.02802,,GPT2-L,774000000,,
"J. Merullo, C. Eickhoff, and E. Pavlick. Circuit component reuse across tasks in transformer language models.",2023-10-12,https://arxiv.org/abs/2310.08744,gpt-2,GPT2-Medium,355000000,,
"I. Tenney, P. Xia, B. Chen, A. Wang, A. Poliak, R. T. McCoy, N. Kim, B. V. Durme, S. Bowman, D. Das,
and E. Pavlick. What do you learn from context? probing for sentence structure in contextualized word
representations. ",2019-05-15,https://arxiv.org/abs/1905.06316,,gpt2-small,124000000,"CoVe, ELMo, GPT, and BERT",
J. Vig. A multiscale visualization of attention in the transformer model. ,2019-06-12,https://arxiv.org/abs/1906.05714,,gpt2-small,124000000,bert-base,
"K. Ethayarajh. How contextual are contextualized word representations? Comparing the geometry of BERT,
ELMo, and GPT-2 embeddings. ",2019-09-02,https://arxiv.org/abs/1909.00512,,gpt2-small,124000000,"BERT, ELMo, and GPT-2",
"Z. Wu, A. Geiger, J. Huang, A. Arora, T. Icard, C. Potts, and N. D. Goodman. A reply to makelov et al. (2023)’s
""interpretability illusion"" arguments.",2024-01-23,https://arxiv.org/abs/2401.12631,,GPT2-small,124000000,,
"M. Hanna, S. Pezzelle, and Y. Belinkov. Have faith in faithfulness: Going beyond circuit overlap when finding
model mechanisms.",2024-03-26,https://arxiv.org/abs/2403.17806,gpt-2,gpt2-small,124000000,,
J. Bloom. Open source sparse autoencoders for all residual stream layers of GPT2 small. ,2024-02-02,https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-autoencoders-for-all-residual-stream,gpt-2,gpt2-small,124000000,,
J. Bloom and J. Lin. Understanding SAE features with the logit lens. ,2024-03-10,https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-with-the-logit-lens,gpt-2,gpt2-small,124000000,,
W. Gurnee. Sae reconstruction errors are (empirically) pathological. ,2024-03-29,https://www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empirically-pathological,gpt-2,GPT2-small,124000000,,
"R. Krzyzanowski, C. Kissane, A. Conmy, and N. Nanda. We inspected every head in GPT-2 small using saes
so you don’t have to.",2024-03-06,https://www.alignmentforum.org/posts/xmegeW5mqiBsvoaim/we-inspected-every-head-in-gpt-2-small-using-saes-so-you-don,gpt-2,gpt2-small,124000000,,
"K. Meng, D. Bau, A. Andonian, and Y. Belinkov. Locating and editing factual associations in GPT.",2022-02-10,https://arxiv.org/abs/2202.05262,,gpt2-xl,1500000000,GPT-2 XL (1.5B parameters),
"W. Gurnee, T. Horsley, Z. C. Guo, T. R. Kheirkhah, Q. Sun, W. Hathaway, N. Nanda, and D. Bertsimas.
Universal neurons in gpt2 language models.",2024-01-22,https://arxiv.org/abs/2401.12181,,GPT2-XL,1500000000,,
"J. Vig, S. Gehrmann, Y. Belinkov, S. Qian, D. Nevo, Y. Singer, and S. Shieber. Investigating gender bias in
language models using causal mediation analysis.",2020-12-6,https://dl.acm.org/doi/10.5555/3495724.3496763,,gpt2-xl,1500000000,"gpt2 small, medium, large, extra-large",
"Z. Li, N. Zhang, Y. Yao, M. Wang, X. Chen, and H. Chen. Unveiling the pitfalls of knowledge editing for
large language models.",2023-10-03,https://arxiv.org/abs/2310.02129,,"GPT2-XL, GPT-J",6000000000,"GPT2-XL, GPT-J",
"A. Stolfo, Y. Belinkov, and M. Sachan. A mechanistic interpretation of arithmetic reasoning in language
models using causal mediation analysis.",2023-05-24,https://arxiv.org/abs/2305.15054,,llama,7000000000,also studied gpt-j 6b and pythia 2.8b,
"K. Li, O. Patel, F. Viégas, H. Pfister, and M. Wattenberg. Inference-time intervention: Eliciting truthful answers
from a language model. ",2023-06-06,https://arxiv.org/abs/2306.03341,,llama,7000000000,,
"C. Chen, K. Liu, Z. Chen, Y. Gu, Y. Wu, M. Tao, Z. Fu, and J. Ye. INSIDE: LLMs’ internal states retain the
power of hallucination detection. ",2024-02-06,https://arxiv.org/abs/2402.03744,,Llama,13000000000,llama 7b,
"E. Todd, M. Li, A. S. Sharma, A. Mueller, B. C. Wallace, and D. Bau. LLMs represent contextual tasks as
compact function vectors. ",2023-10-23,https://arxiv.org/abs/2310.15213,,Llama 2,70000000000,"Llama-2 13B and 7B, GPT-J (6B), GPT-NeoX (20B)",
"Z. Wu, A. Arora, Z. Wang, A. Geiger, D. Jurafsky, C. D. Manning, and C. Potts. Reft: Representation finetuning
for language models.",2024-04-04,https://arxiv.org/abs/2404.03592,,Llama-13B,13000000000,"Llama-7B, Llama-13B, Llama-2-7B, Llama-3-8B, RoBERTa-base, RoBERTa-large",
A. Azaria and T. Mitchell. The internal state of an LLM knows when it’s lying.,2023-04-26,https://arxiv.org/abs/2304.13734,,llama-2,7000000000,also opt-6.7b,
W. Gurnee and M. Tegmark. Language models represent space and time.,2023-10-03,https://arxiv.org/abs/2310.02207,,Llama-2,70000000000,llama-2-70B,
"K. Park, Y. J. Choe, and V. Veitch. The linear representation hypothesis and the geometry of large language
models.",2023-11-07,https://arxiv.org/abs/2311.03658,,llama-2,7000000000,,
"A. Ghandeharioun, A. Caciularu, A. Pearce, L. Dixon, and M. Geva. Patchscopes: A unifying framework for
inspecting hidden representations of language models.",2024-01-11,https://arxiv.org/abs/2401.06102,,llama-2,13000000000,"also studied vicuna 13b, gpt-j 6b and pythia 12b",
"T. Tang, W. Luo, H. Huang, D. Zhang, X. Wang, X. Zhao, F. Wei, and J.-R. Wen. Language-specific neurons:
The key to multilingual capabilities in large language models.",2024-02-26,https://arxiv.org/abs/2402.16438,,Llama-2,70000000000,"LLama-2 (70E10), llama-2 (7E9), llama-2 (1.3E10), BLOOM (7E9), OPT (6.7E9) Mistral (7E9), Phi-2 (2.7E9)",
"A. Gupta, D. Sajnani, and G. Anumanchipalli. A unified framework for model editing.",2024-03-21,https://arxiv.org/abs/2403.14236,,llama-2,7000000000,also studied gpt2-xl 1.5b and gpt-j 6b,
"A. Lv, K. Zhang, Y. Chen, Y. Wang, L. Liu, J.-R. Wen, J. Xie, and R. Yan. Interpreting key mechanisms of
factual recall in transformer-based language models.",2024-03-28,https://arxiv.org/abs/2403.19521,,Llama-2,7000000000,also studied all size of gpt-2 and 1.3b OPT,
"A. Variengien and E. Winsor. Look before you leap: A universal emergent decomposition of retrieval tasks in
language models.",2023-12-13,https://arxiv.org/abs/2312.10091,,llama-2 ,70000000000,"also studied gpt-2, pythia, falcon and llama-2 in all available sizes",
"A. Madsen, S. Chandar, and S. Reddy. Are self-explanations from large language models faithful? ArXiv,
abs/2401.07927.",2024-01-15,https://arxiv.org/abs/2401.07927,,llama-2 ,70000000000,"also studied Llama2 (7B), Falcon (40B, 7B),
and Mistral (7B)",
"Y. Kwon, E. Wu, K. Wu, and J. Zou. Datainf: Efficiently estimating data influence in loRA-tuned LLMs
and diffusion models.",2023-10-02,https://arxiv.org/abs/2310.00902,,Llama-2-13B,13000000000,"RoBERTa-large, Llama-2-13B-chat, stable-diffusion-v-1.5",
S. Marks and M. Tegmark. The geometry of truth: Emergent linear structure in large language model representations of true/false datasets.,2023-10-10,https://arxiv.org/abs/2310.06824,,LLama-2-70B,70000000000,Used both llama-2-13B and llama-2-70B,
"Y. Jiang, G. Rajendran, P. Ravikumar, B. Aragam, and V. Veitch. On the origins of linear representations in
large language models",2024-03-06,https://arxiv.org/abs/2403.03867,,llama-2-7B,7000000000,,
"A. Zou, L. Phan, S. Chen, J. Campbell, P. Guo, R. Ren, A. Pan, X. Yin, M. Mazeika, A.-K. Dombrowski,
S. Goel, N. Li, M. J. Byun, Z. Wang, A. Mallen, S. Basart, S. Koyejo, D. Song, M. Fredrikson, J. Z. Kolter,
and D. Hendrycks. Representation engineering: A top-down approach to ai transparency.",2023-10-2,https://arxiv.org/abs/2310.01405,,llama-2-chat,70000000000,,
"A. M. Turner, L. Thiergart, D. Udell, G. Leech, U. Mini, and M. MacDiarmid. Activation addition: Steering
language models without optimization.",2023-08-20,https://arxiv.org/abs/2308.10248,,llama-3,8000000000,"also studied OPT, GPT-2-xl 1.5b , and GPT-J",
"Y.-S. Chuang, Y. Xie, H. Luo, Y. Kim, J. R. Glass, and P. He. Dola: Decoding by contrasting layers improves
factuality in large language models. ",2023-09-07,https://arxiv.org/abs/2309.03883,,llama-65B,65000000000,"llama-7B, llama-13B, llama-33B, llama-65B. 65B used for only one figure",
"Z. Yu and S. Ananiadou. Locating factual knowledge in large language models: Exploring the residual stream
and analyzing subvalues in vocabulary space.",2023-12-19,https://arxiv.org/abs/2312.12141,,llama-7B,7000000000,"GPT2-L, llama-7B",
"G. Xiao, Y. Tian, B. Chen, S. Han, and M. Lewis. Efficient streaming language models with attention sinks.
Arxiv.",2023-09-29,https://arxiv.org/abs/2309.17453,,llama2,70000000000,"Llama-2-[7,13,70]B, Falcon-[7,40]B, Pythia-[2.8,6.9,12]B, and MPT-[7,30]B",
"G. Monea, M. Peyrard, M. Josifoski, V. Chaudhary, J. Eisner, E. Kıcıman, H. Palangi, B. Patra, and R. West.
A glitch in the matrix? locating and detecting language model grounding with fakepedia.",2023-12-04,https://arxiv.org/abs/2312.02073,,llama2,70000000000,"but also not mechanistic interpretability as they evaluate on closed models, too",
"J.-C. Gu, H. Xu, J.-Y. Ma, P. Lu, Z.-H. Ling, K. wei Chang, and N. Peng. Model editing can hurt general
abilities of large language models. ",2024-01-09,https://arxiv.org/abs/2401.04700,,llama2,7000000000,gpt2-xl,
"J. Huang, Z. Wu, C. Potts, M. Geva, and A. Geiger. Ravel: Evaluating interpretability methods on disentangling
language model representations.",2024-02-27,https://arxiv.org/abs/2402.17700,,llama2,7000000000,,
"H. Chen, C. Vondrick, and C. Mao. Selfie: Self-interpretation of large language model embeddings.",2024-03-16,https://arxiv.org/abs/2403.10949,,llama2,70000000000,,
"S. Singh, S. Ravfogel, J. Herzig, R. Aharoni, R. Cotterell, and P. Kumaraguru. Mimic: Minimally modified
counterfactuals in the representation space.",2024-02-15,https://arxiv.org/abs/2402.09631,,LLama2-7b,7000000000,steering method,
"J. Ferrando, G. I. Gállego, B. Alastruey, C. Escolano, and M. R. Costa-jussà. Towards opening the black
box of neural machine translation: Source and target interpretations of the transformer.",2022-05-23,https://arxiv.org/abs/2205.11631,,M2M,418000000,,
"G. Sarti, G. Chrupała, M. Nissim, and A. Bisazza. Quantifying the plausibility of context reliance in neural
machine translation. ",2023-10-02,https://arxiv.org/abs/2310.01188,,MBART,680000000,,
"K. Amara, R. Sevastjanova, and M. El-Assady. Syntaxshap: Syntax-aware explainability method for text
generation.",2024-02-14,https://arxiv.org/abs/2402.09259,,mistral,7000000000,gpt2-medium,
"E. Akyurek, T. Bolukbasi, F. Liu, B. Xiong, I. Tenney, J. Andreas, and K. Guu. Towards tracing knowledge
in language models back to the training data. ",2022-05-23,https://arxiv.org/abs/2205.11482,,mt5,580000000,,
"B.-D. Oh and W. Schuler. Token-wise decomposition of autoregressive language model hidden states for
analyzing model predictions. ",2023-05-17,https://arxiv.org/abs/2305.10614,,opt,125000000,,
"E. Voita, J. Ferrando, and C. Nalmpantis. Neurons in large language models: Dead, n-gram, positional.",2023-09-09,https://arxiv.org/abs/2309.04827,,OPT,66000000000,studies across all OPT sizes; smallest is 125M,
"X. L. Li, A. Holtzman, D. Fried, P. Liang, J. Eisner, T. Hashimoto, L. Zettlemoyer, and M. Lewis. Contrastive
decoding: Open-ended text generation as optimization.",2022-10-27,https://arxiv.org/abs/2210.15097,,OPT-13B,13000000000,"OPT13-13B, OPT-125M",
Z. Zhao and B. Shan. Reagent: A model-agnostic feature attribution method for generative language models.,2024-02-01,https://arxiv.org/abs/2402.00794,,OPT-6.7B,6700000000,"GPT-{354M,1.5B,6B}, OPT-{350M,1.3B,6.7B}",
