paper,year,link,model family,model,param count,notes,affiliations
"Z. Li, N. Zhang, Y. Yao, M. Wang, X. Chen, and H. Chen. Unveiling the pitfalls of knowledge editing for
large language models. In The Twelfth International Conference on Learning Representations, 2024. URL
https://openreview.net/forum?id=fNktD3ib16.",2024,https://openreview.net/forum?id=fNktD3ib16,,"GPT2-XL, GPT-J",6000000000,"GPT2-XL, GPT-J",zhejiang university
"A. Gupta, A. Rao, and G. K. Anumanchipalli. Model editing at scale leads to gradual and catastrophic forgetting. ArXiv, abs/2401.07453, 2024a. URL https://api.semanticscholar.org/CorpusID:266999650.",2024,https://api.semanticscholar.org/CorpusID:266999650,,GPT-J,6000000000,also studied gpt2-xl 1.5b,uc berkeley
"E. Hernandez, A. S. Sharma, T. Haklay, K. Meng, M. Wattenberg, J. Andreas, Y. Belinkov, and D. Bau. Linearity of relation decoding in transformer language models. In The Twelfth International Conference on
Learning Representations, 2024. URL https://openreview.net/forum?id=w7LU2s14kE.",2024,https://openreview.net/forum?id=w7LU2s14kE,,GPT-J,6000000000,"in appendix: GPT-2-XL, Llama-13B",
"Z. Zhao and B. Shan. Reagent: A model-agnostic feature attribution method for generative language models,
2024.",2024,https://arxiv.org/abs/2402.00794,,OPT-6.7B,6700000000,"GPT-{354M,1.5B,6B}, OPT-{350M,1.3B,6.7B}",University of Sheffield
"A. Arora, D. Jurafsky, and C. Potts. Causalgym: Benchmarking causal interpretability methods on linguistic
tasks, 2024. URL https://arxiv.org/abs/2402.12560.",2024,https://arxiv.org/abs/2402.12560,,pythia,6900000000,14M-6.9B,
"S. Rajamanoharan, A. Conmy, L. Smith, T. Lieberum, V. Varma, J. Kramár, R. Shah, and N. Nanda. Improving
dictionary learning with gated sparse autoencoders. ArXiv, 2024.",2024,https://arxiv.org/pdf/2404.16014,,Gemma-7B,7000000000,also used pythia-2.8B and gelu-1l (3.1M),
"S. Singh, S. Ravfogel, J. Herzig, R. Aharoni, R. Cotterell, and P. Kumaraguru. Mimic: Minimally modified
counterfactuals in the representation space. Arxiv, 2024c. URL https://arxiv.org/abs/2402.09631.",2024,https://arxiv.org/abs/2402.09631,,LLama2-7b,7000000000,steering method,
"Y. Jiang, G. Rajendran, P. Ravikumar, B. Aragam, and V. Veitch. On the origins of linear representations in
large language models, 2024.",2024,https://arxiv.org/abs/2403.03867,,llama-2-7B,7000000000,,"university of chicago, carnegie mellon"
"Y. Tian, Y. Wang, Z. Zhang, B. Chen, and S. S. Du. JoMA: Demystifying multilayer transformers via joint
dynamics of MLP and attention. In The Twelfth International Conference on Learning Representations,
2024. URL https://openreview.net/forum?id=LbJqRGNYCf.",2024,https://openreview.net/forum?id=LbJqRGNYCf,,Pythia-7B,7000000000,"OPT-2.7B, pythia-70M, pythia-1.4B, pythia-7B","meta, university of washington, carnegie mellon, ut austin"
"Z. Yu and S. Ananiadou. Locating factual knowledge in large language models: Exploring the residual stream
and analyzing subvalues in vocabulary space, 2024. URL https://arxiv.org/abs/2312.12141.",2024,https://arxiv.org/abs/2312.12141,,llama-7B,7000000000,"GPT2-L, llama-7B",University of Manchester
"A. Gupta, D. Sajnani, and G. Anumanchipalli. A unified framework for model editing, 2024b.",2024,https://arxiv.org/pdf/2403.14236,,llama-2,7000000000,also studied gpt2-xl 1.5b and gpt-j 6b,uc berkeley
"A. Lv, K. Zhang, Y. Chen, Y. Wang, L. Liu, J.-R. Wen, J. Xie, and R. Yan. Interpreting key mechanisms of
factual recall in transformer-based language models. Computing Research Repository, arXiv:2403.19521,
2024. URL https://arxiv.org/abs/2403.19521.",2024,https://arxiv.org/abs/2403.19521,,Llama-2,7000000000,also studied all size of gpt-2 and 1.3b OPT,"Gaoling School of Artificial Intelligence, Renmin University of China 2 XiaoMi AI Lab 3 Baichuan Inc"
"G. Paulo, T. Marshall, and N. Belrose. Does transformer interpretability transfer to rnns?, 2024.",2024,https://arxiv.org/pdf/2404.05971,,RWKV v5,7000000000,also incl. 2.7B models,
"J. Huang, Z. Wu, C. Potts, M. Geva, and A. Geiger. Ravel: Evaluating interpretability methods on disentangling
language model representations, 2024a. URL https://arxiv.org/abs/2402.17700.",2024,https://arxiv.org/abs/2402.17700,,llama2,7000000000,,
"J.-C. Gu, H. Xu, J.-Y. Ma, P. Lu, Z.-H. Ling, K. wei Chang, and N. Peng. Model editing can hurt general
abilities of large language models. ArXiv, abs/2401.04700, 2024. URL https://api.semanticscholar.
org/CorpusID:266899568.",2024,https://api.semanticscholar.org/CorpusID:266899568,,llama2,7000000000,gpt2-xl,
"K. Amara, R. Sevastjanova, and M. El-Assady. Syntaxshap: Syntax-aware explainability method for text
generation. ArXiv, abs/2402.09259, 2024. URL https://api.semanticscholar.org/CorpusID:
267657673.",2024,https://api.semanticscholar.org/CorpusID:267657673,,mistral,7000000000,gpt2-medium,
"M. Avitan, R. Cotterell, Y. Goldberg, and S. Ravfogel. What changed? converting representational interventions
to natural language. Arxiv, 2024. URL https://arxiv.org/abs/2402.11355.",2024,https://arxiv.org/abs/2402.11355,,,7000000000,Mistral7b and GPT2,
"N. Prakash, T. R. Shaham, T. Haklay, Y. Belinkov, and D. Bau. Fine-tuning enhances existing mechanisms: A
case study on entity tracking. In The Twelfth International Conference on Learning Representations, 2024.
URL https://openreview.net/forum?id=8sKcAWOf2D.",2024,https://openreview.net/forum?id=8sKcAWOf2D,,,7000000000,"LLama-7b, Vicuna 7B, Goat-7B, Float-7B",
"P. Sharma, J. T. Ash, and D. Misra. The truth is in there: Improving reasoning with layer-selective rank
reduction. In The Twelfth International Conference on Learning Representations, 2024b. URL https:
//openreview.net/forum?id=ozX92bu8VA.",2024,https://openreview.net/forum?id=ozX92bu8VA,,,7000000000,"roberta, gptj, llama2",
"R. Achtibat, S. M. V. Hatefi, M. Dreyer, A. Jain, T. Wiegand, S. Lapuschkin, and W. Samek. AttnLRP:
Attention-aware layer-wise relevance propagation for transformers, 2024.",2024,,,,7000000000,"llama-2-7b, mistral 7b",
"R. Gould, E. Ong, G. Ogden, and A. Conmy. Successor heads: Recurring, interpretable attention heads in the
wild. In The Twelfth International Conference on Learning Representations, 2024. URL https://openre
view.net/forum?id=kvcbV8KQsi.",2024,https://openreview.net/forum?id=kvcbV8KQsi,,,7000000000,"pythia 1.4b, gpt2xl, llama2 7b",
"J. Kramár, T. Lieberum, R. Shah, and N. Nanda. Atp*: An efficient and scalable method for localizing llm
behaviour to components, 2024. URL https://arxiv.org/abs/2403.00745.",2024,https://arxiv.org/abs/2403.00745,,Pythia,12000000000,,
"Y. Kwon, E. Wu, K. Wu, and J. Zou. Datainf: Efficiently estimating data influence in loRA-tuned LLMs
and diffusion models. In The Twelfth International Conference on Learning Representations, 2024. URL
https://openreview.net/forum?id=9m02ib92Wz.",2024,https://openreview.net/forum?id=9m02ib92Wz,,Llama-2-13B,13000000000,"RoBERTa-large, Llama-2-13B-chat, stable-diffusion-v-1.5","columbia, stanford"
"Z. Wu, A. Arora, Z. Wang, A. Geiger, D. Jurafsky, C. D. Manning, and C. Potts. Reft: Representation finetuning
for language models, 2024b.",2024,https://arxiv.org/abs/2404.03592,,Llama-13B,13000000000,"Llama-7B, Llama-13B, Llama-2-7B, Llama-3-8B, RoBERTa-base, RoBERTa-large","Stanford, Pr(AI)^2R Group"
"A. Ghandeharioun, A. Caciularu, A. Pearce, L. Dixon, and M. Geva. Patchscopes: A unifying framework for
inspecting hidden representations of language models. Arxiv, 2024. URL https://arxiv.org/abs/2401
.06102v2.",2024,https://arxiv.org/abs/2401.06102v2,,llama-2,13000000000,"also studied vicuna 13b, gpt-j 6b and pythia 12b","google research, tel aviv university"
"C. Chen, K. Liu, Z. Chen, Y. Gu, Y. Wu, M. Tao, Z. Fu, and J. Ye. INSIDE: LLMs’ internal states retain the
power of hallucination detection. In The Twelfth International Conference on Learning Representations,
2024b. URL https://openreview.net/forum?id=Zj12nzlQbz.",2024,https://openreview.net/forum?id=Zj12nzlQbz,,Llama,13000000000,llama 7b,1Alibaba Cloud 2Zhejiang University
"M. Sun, X. Chen, J. Z. Kolter, and Z. Liu. Massive activations in large language models, 2024. URL https:
//arxiv.org/abs/2402.17762.",2024,https://arxiv.org/abs/2402.17762,,,13000000000,"LLaMA2-7B, LLaMA2-13B, Phi2, Mistral-8x7B, CLIP ViT-L, DINOv2 ViT-L MAE ViT-L",
"W. Wu, Y. Wang, G. Xiao, H. Peng, and Y. Fu. Retrieval head mechanistically explains long-context factuality.
Arxiv, 2024a. URL https://arxiv.org/abs/2404.15574.",2024,https://arxiv.org/abs/2404.15574,,Yi-34B,34000000000,"llama2-7b, llama2-13B, mistral-7B, mixtral-8x7B, Yi-6B, Yi-34B, Qwen1.5-14B",
"Y.-S. Chuang, Y. Xie, H. Luo, Y. Kim, J. R. Glass, and P. He. Dola: Decoding by contrasting layers improves
factuality in large language models. In The Twelfth International Conference on Learning Representations,
2024. URL https://openreview.net/forum?id=Th6NyL07na.",2024,https://openreview.net/forum?id=Th6NyL07na,,llama-65B,65000000000,"llama-7B, llama-13B, llama-33B, llama-65B. 65B used for only one figure",
"T. Tang, W. Luo, H. Huang, D. Zhang, X. Wang, X. Zhao, F. Wei, and J.-R. Wen. Language-specific neurons:
The key to multilingual capabilities in large language models, 2024. URL https://arxiv.org/abs/2402
.16438.",2024,https://arxiv.org/abs/2402.16438,,Llama-2,70000000000,"LLama-2 (70E10), llama-2 (7E9), llama-2 (1.3E10), BLOOM (7E9), OPT (6.7E9) Mistral (7E9), Phi-2 (2.7E9)",
"W. Gurnee and M. Tegmark. Language models represent space and time. In The Twelfth International Conference on Learning Representations, 2024. URL https://openreview.net/forum?id=jE8xbmvFin.",2024,https://openreview.net/forum?id=jE8xbmvFin,,Llama-2,70000000000,llama-2-70B,
"A. Madsen, S. Chandar, and S. Reddy. Are self-explanations from large language models faithful? ArXiv,
abs/2401.07927, 2024. URL https://api.semanticscholar.org/CorpusID:266999774.",2024,https://aclanthology.org/2024.findings-acl.19/,,llama-2 ,70000000000,"also studied Llama2 (7B), Falcon (40B, 7B),
and Mistral (7B)",Mila – Quebec AI Institute 2 Polytechnique Montréal 3 McGill University 4 Canada CIFAR AI Chair 5 Facebook CIFAR AI Chair
"E. Todd, M. Li, A. S. Sharma, A. Mueller, B. C. Wallace, and D. Bau. LLMs represent contextual tasks as
compact function vectors. In The Twelfth International Conference on Learning Representations, 2024.
URL https://openreview.net/forum?id=AwyxtyMwaG.",2024,https://openreview.net/forum?id=AwyxtyMwaG,,Llama 2,70000000000,"Llama-2 13B and 7B, GPT-J (6B), GPT-NeoX (20B)",
"G. Monea, M. Peyrard, M. Josifoski, V. Chaudhary, J. Eisner, E. Kıcıman, H. Palangi, B. Patra, and R. West.
A glitch in the matrix? locating and detecting language model grounding with fakepedia, 2024. URL
https://arxiv.org/abs/2312.02073.",2024,https://arxiv.org/abs/2312.02073,,llama2,70000000000,"but also not mechanistic interpretability as they evaluate on closed models, too",
"H. Chen, C. Vondrick, and C. Mao. Selfie: Self-interpretation of large language model embeddings, 2024c.
URL https://arxiv.org/abs/2403.10949.",2024,https://arxiv.org/abs/2403.10949,,llama2,70000000000,,
"M. Yuksekgonul, V. Chandrasekaran, E. Jones, S. Gunasekar, R. Naik, H. Palangi, E. Kamar, and B. Nushi.
Attention satisfies: A constraint-satisfaction lens on factual errors of language models. In The Twelfth
International Conference on Learning Representations, 2024. URL https://openreview.net/forum?i
d=gfFVATffPd.",2024,https://openreview.net/forum?id=gfFVATffPd,,,70000000000,"LLama2-7B, LLama2-13B, LLama2-70B",
"N. Y. Siegel, O.-M. Camburu, N. Heess, and M. Perez-Ortiz. The probabilities also matter: A more faithful
metric for faithfulness of free-text explanations in large language models, 2024.",2024,,,,70000000000,Llama2-7b llama2-13b llama2-70b,
"Q. Wang, T. Anikina, N. Feldhus, J. van Genabith, L. Hennig, and S. Möller. Llmcheckup: Conversational
examination of large language models via interpretability tools, 2024.",2024,,,,70000000000,stable beluga 2-70B,
"S. Chen, M. Xiong, J. Liu, Z. Wu, T. Xiao, S. Gao, and J. He. In-context sharpness as alerts: An inner
representation perspective for hallucination mitigation, 2024d.",2024,,,,70000000000,Llama-2 models (chat),
"A. Arditi, O. Balcells, A. Syed, W. Gurnee, and N. Nanda. Refusal in llms is mediated by a single direction.
Alignment Forum, 2024. URL https://alignmentforum.org/posts/jGuXSZgv6qfdhMCuJ/refusal-i
n-llms-is-mediated-by-a-single-direction.",2024,https://alignmentforum.org/posts/jGuXSZgv6qfdhMCuJ/refusal-in-llms-is-mediated-by-a-single-direction,,qwen chat,72000000000,"Qwen chat 1.8B, 7B, 14B, 72B
Gemma instruction-tuned 2B, 7B
Yi chat 6B, 34B
Llama-3 instruct 8B, 70B",
"L. Quirke, L. Heindrich, W. Gurnee, and N. Nanda. Training dynamics of contextual n-grams in language
models, 2023. URL https://arxiv.org/abs/2311.00863.",2023,https://arxiv.org/abs/2311.00863,,,70000000,Pythia 70M,
"Y. Bondarenko, M. Nagel, and T. Blankevoort. Quantizable transformers: Removing outliers by helping attention heads do nothing. In Thirty-seventh Conference on Neural Information Processing Systems, 2023. URL
https://openreview.net/forum?id=sbusw6LD41.",2023,https://openreview.net/forum?id=sbusw6LD41,bert,BERT-base-uncased,110000000,notes,qualcomm
"A. Geiger, Z. Wu, C. Potts, T. Icard, and N. D. Goodman. Finding alignments between interpretable causal
variables and distributed neural representations, 2023b. URL https://arxiv.org/abs/2303.02536.",2023,https://arxiv.org/abs/2303.02536,bert,BERT-base-uncased,110000000,,"pr(ai)r group, stanford university"
"N. Belrose, D. Schneider-Joseph, S. Ravfogel, R. Cotterell, E. Raff, and S. Biderman. LEACE: Perfect linear
concept erasure in closed form. In Thirty-seventh Conference on Neural Information Processing Systems,
2023b. URL https://openreview.net/forum?id=awIpKpwTwF.",2023,https://openreview.net/forum?id=awIpKpwTwF,bert,BERT-base-uncased,110000000,,
"J. Enguehard. Sequential integrated gradients: a simple but effective method for explaining language models. In
A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Findings of the Association for Computational Linguistics: ACL 2023, pp. 7555–7565, Toronto, Canada, July 2023. Association for Computational Linguistics.
doi: 10.18653/v1/2023.findings-acl.477. URL https://aclanthology.org/2023.findings-acl.477.",2023,https://aclanthology.org/2023.findings-acl.477,,bert-base,120000000,"BERT, DistilBERT and RoBERTa",
"Z. Wu, A. Geiger, J. Huang, A. Arora, T. Icard, C. Potts, and N. D. Goodman. A reply to makelov et al. (2023)’s
""interpretability illusion"" arguments, 2024d.",2023,https://arxiv.org/abs/2401.12631,,GPT2-small,124000000,,"Stanford, Pr(AI)^2R Group"
"A. Conmy, A. Mavor-Parker, A. Lynch, S. Heimersheim, and A. Garriga-Alonso. Towards automated circuit
discovery for mechanistic interpretability. In A. Oh, T. Neumann, A. Globerson, K. Saenko, M. Hardt, and
S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36, pp. 16318–16352. Curran
Associates, Inc., 2023. URL https://papers.nips.cc/paper_files/paper/2023/hash/34e1dbe95d3
4d7ebaf99b9bcaeb5b2be-Abstract-Conference.html.",2023,https://papers.nips.cc/paper_files/paper/2023/hash/34e1dbe95d34d7ebaf99b9bcaeb5b2be-Abstract-Conference.html,,gpt-2 small,124000000,,"independent, ucl, university of cambridge"
"A. Syed, C. Rager, and A. Conmy. Attribution patching outperforms automated circuit discovery. Arxiv, 2023.
URL https://arxiv.org/abs/2310.10348.",2023,https://arxiv.org/abs/2310.10348,,gpt-2 small,124000000,,"University of Maryland, College Park, Independent, Independent"
"C. McDougall, A. Conmy, C. Rushing, T. McGrath, and N. Nanda. Copy suppression: Comprehensively
understanding an attention head. Arxiv, 2023. URL https://arxiv.org/abs/2310.04625.",2023,https://arxiv.org/abs/2310.04625,,gpt-2-small,124000000,,"1
Independent. 2University of Texas at Austin. 3Google DeepMind. †"
"K. R. Wang, A. Variengien, A. Conmy, B. Shlegeris, and J. Steinhardt. Interpretability in the wild: a circuit
for indirect object identification in GPT-2 small. In The Eleventh International Conference on Learning
Representations, 2023a. URL https://openreview.net/forum?id=NpsVSN6o4ul.",2023,https://openreview.net/forum?id=NpsVSN6o4ul,,,124000000,GPT-2 Small,
"M. Hanna, O. Liu, and A. Variengien. How does GPT-2 compute greater-than?: Interpreting mathematical
abilities in a pre-trained language model. In A. Oh, T. Neumann, A. Globerson, K. Saenko, M. Hardt, and
S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36, pp. 76033–76060. Curran
Associates, Inc., 2023. URL https://papers.nips.cc/paper_files/paper/2023/hash/efbba7719cc
5172d175240f24be11280-Abstract-Conference.html.",2023,https://papers.nips.cc/paper_files/paper/2023/hash/efbba7719cc5172d175240f24be11280-Abstract-Conference.html,,,124000000,GPT2-small,
"M. Sakarvadia, A. Khan, A. Ajith, D. Grzenda, N. Hudson, A. Bauer, K. Chard, and I. Foster. Attention lens:
A tool for mechanistically interpreting the attention head information retrieval mechanism, 2023.",2023,https://arxiv.org/abs/2310.16270,,,124000000,GPT2-small,
"N. Nanda. Attribution patching: Activation patching at industrial scale. https://www.neelnanda.io/mecha
nistic-interpretability/attribution-patching, 2023.",2023,https://www.neelnanda.io/mechanistic-interpretability/attribution-patching,,,124000000,gpt-2 small,
"R. Molina. Traveling words: A geometric interpretation of transformers. Arxiv, 2023. URL https://arxiv.
org/abs/2309.07315.",2023,https://arxiv.org/abs/2309.07315,,,124000000,gpt2-small,
"A. Modarressi, M. Fayyaz, E. Aghazadeh, Y. Yaghoobzadeh, and M. T. Pilehvar. DecompX: Explaining transformers decisions by propagating token decomposition. In A. Rogers, J. Boyd-Graber, and N. Okazaki
(eds.), Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1:
Long Papers), pp. 2649–2664, Toronto, Canada, July 2023. Association for Computational Linguistics. doi:
10.18653/v1/2023.acl-long.149. URL https://aclanthology.org/2023.acl-long.149.",2023,https://aclanthology.org/2023.acl-long.149,,roberta-base-uncased,125000000,also studied bert-base-uncased 110m,"1 Center for Information and Language Processing, LMU Munich, Germany
2 Munich Center for Machine Learning (MCML), Germany 3 University of Tehran, Iran
4 Tehran Institute for Advanced Studies, Khatam University, Iran"
"B.-D. Oh and W. Schuler. Token-wise decomposition of autoregressive language model hidden states for
analyzing model predictions. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Proceedings of the 61st
Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 10105–
10117, Toronto, Canada, July 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.acl
-long.562. URL https://aclanthology.org/2023.acl-long.562.",2023,https://aclanthology.org/2023.acl-long.562,,opt,125000000,,"Department of Linguistics
The Ohio State University, Department of Linguistics
The Ohio State University"
"H. Mohebbi, W. Zuidema, G. Chrupała, and A. Alishahi. Quantifying context mixing in transformers. In
A. Vlachos and I. Augenstein (eds.), Proceedings of the 17th Conference of the European Chapter of the
Association for Computational Linguistics, pp. 3378–3400, Dubrovnik, Croatia, May 2023. Association for
Computational Linguistics. doi: 10.18653/v1/2023.eacl-main.245. URL https://aclanthology.org/2
023.eacl-main.245.",2023,https://aclanthology.org/2023.eacl-main.245,,roberta-base,125000000,"bert-base, electra-base (110M)",
"C. Tigges, O. J. Hollinsworth, A. Geiger, and N. Nanda. Linear representations of sentiment in large language
models. Arxiv, 2023. URL https://arxiv.org/abs/2310.15154.",2023,https://arxiv.org/abs/2310.15154,,gpt-2,137000000,pythia 85m to 2.8b,"♣EleutherAI Institute, ♡SERI MATS, ♠Stanford University, ⋆Pr(Ai)2R Group, ♢Independent"
"A. Y. Din, T. Karidi, L. Choshen, and M. Geva. Jump to conclusions: Short-cutting transformers with linear
transformations. Arxiv, 2023. URL https://arxiv.org/abs/2303.09435.",2023,https://arxiv.org/abs/2303.09435,,bert-large-uncased,336000000,also studied gpt-2 and bert-base-uncase,1Hebrew University of Jerusalem 2Tel Aviv University
"S. Yang, S. Huang, W. Zou, J. Zhang, X. Dai, and J. Chen. Local interpretation of transformer based on linear
decomposition. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 10270–10287, Toronto,
Canada, July 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.acl-long.572. URL
https://aclanthology.org/2023.acl-long.572.",2023,https://aclanthology.org/2023.acl-long.572,,RoBERTa,354000000,math paper but they used roberta for experiments,
"S. Katz and Y. Belinkov. VISIT: Visualizing and interpreting the semantic information flow of transformers. In
H. Bouamor, J. Pino, and K. Bali (eds.), Findings of the Association for Computational Linguistics: EMNLP
2023, pp. 14094–14113, Singapore, December 2023. Association for Computational Linguistics. doi: 10.1
8653/v1/2023.findings-emnlp.939. URL https://aclanthology.org/2023.findings-emnlp.939.",2023,https://aclanthology.org/2023.findings-emnlp.939,,GPT2,355000000,,
