paper,affiliation,non-academia,publication date (first revision),link,model family,model,param count,other models studied,mmlu_accuracy,arc_accuracy,hellaswag_accuracy,notes
"Q. Wang, T. Anikina, N. Feldhus, J. van Genabith, L. Hennig, and S. Möller. Llmcheckup: Conversational
examination of large language models via interpretability tools.","German Research Center for Artificial Intelligence,  Technische Universität Berlin, Saarland Informatics Campus",FALSE,2024-01-23,https://arxiv.org/abs/2401.12576,Llama-2,Stable Beluga 2 70B,70000000000,Stable Beluga 2-70B,68.79,71.08,86.37,
"A. M. Turner, L. Thiergart, D. Udell, G. Leech, U. Mini, and M. MacDiarmid. Activation addition: Steering
language models without optimization.","DeepMind, MIRI, University of Bristol, Arb Research, MATS, Anthropic",TRUE,2023-08-20,https://arxiv.org/abs/2308.10248,Llama-3,Llama-3 8B,8000000000,"OPT, GPT-2-xl 1.5b , and GPT-J",66.7,60.24,82.23,
"Y.-S. Chuang, Y. Xie, H. Luo, Y. Kim, J. R. Glass, and P. He. Dola: Decoding by contrasting layers improves
factuality in large language models. ","Massachusetts Institute of Technology, Microsoft",FALSE,2023-09-07,https://arxiv.org/abs/2309.03883,Llama,Llama 65B,65000000000,"Llama-7B, Llama-13B, Llama-33B, Llama-65B. 65B used for only one figure",66.15,0,0,
"S. Rajamanoharan, A. Conmy, L. Smith, T. Lieberum, V. Varma, J. Kramár, R. Shah, and N. Nanda. Improving
dictionary learning with gated sparse autoencoders. ",google deepmind,TRUE,2024-04-24,https://arxiv.org/abs/2404.16014,gemma,Gemma-7B,7000000000,also used Pythia-2.8B and GELU-1l (3.1M),66.03,61.09,82.47,
"K. Amara, R. Sevastjanova, and M. El-Assady. Syntaxshap: Syntax-aware explainability method for text
generation.",ETH Zurich,FALSE,2024-02-14,https://arxiv.org/abs/2402.09259,Mistral,Mistral 7B,7000000000,GPT2-medium,62.98,57.995,82.145,
"M. Avitan, R. Cotterell, Y. Goldberg, and S. Ravfogel. What changed? converting representational interventions
to natural language.","Bar-Ilan University, ETH Zurich, Allen Institute for AI",TRUE,2024-02-17,https://arxiv.org/abs/2402.11355,Mistral,Mistral 7B,7000000000,Mistral7b and GPT2,62.98,57.995,82.145,
"R. Hendel, M. Geva, and A. Globerson. In-context learning creates task vectors.","Tel Aviv, Google Deepmind",TRUE,2023-10-24,https://arxiv.org/abs/2310.15916,Llama,Llama 30B,30000000000,Llama 30B,57.8,57.8,82.8,
"N. Varshney, W. Yao, H. Zhang, J. Chen, and D. Yu. A stitch in time saves nine: Detecting and mitigating
hallucinations of llms by validating low-confidence generation.","Arizona State University, Tencent AI Lab",TRUE,2023-07-08,https://arxiv.org/abs/2307.03987,Llama-2,Vicuna-13b,13000000000,"GPT 3.5, Vicuna-13B",56.67,57.08,81.24,
"A. Ghandeharioun, A. Caciularu, A. Pearce, L. Dixon, and M. Geva. Patchscopes: A unifying framework for
inspecting hidden representations of language models.","Google Research, Tel Aviv University",TRUE,2024-01-11,https://arxiv.org/abs/2401.06102,Llama-2,Llama-2 13B,13000000000,"Vicuna 13b, GPT-J 6b and Pythia 12b",55.285,59.39,81.415,
"M. Sun, X. Chen, J. Z. Kolter, and Z. Liu. Massive activations in large language models.","Carnegie Mellon University, Meta AI Research, Bosch Center for AI",TRUE,2024-02-27,https://arxiv.org/abs/2402.17762,Llama-2,Llama-2 13B,13000000000,"Llama2-7B, Llama2-13B, Phi2, Mistral-8x7B, CLIP ViT-L, DINOv2 ViT-L MAE ViT-L",55.285,59.39,81.415,
"S. CH-Wang, B. V. Durme, J. Eisner, and C. Kedzie. Do androids know they’re only dreaming of electric
sheep?.",Microsoft,TRUE,2023-12-28,https://arxiv.org/abs/2312.17249v1,Llama-2,Llama-2 13B,13000000000,Llama2-13b,55.285,59.39,81.415,
"Y. Kwon, E. Wu, K. Wu, and J. Zou. Datainf: Efficiently estimating data influence in loRA-tuned LLMs
and diffusion models.","columbia, stanford",FALSE,2023-10-02,https://arxiv.org/abs/2310.00902,Llama-2,Llama-2 13B,13000000000,"RoBERTa-large, Llama-2-13B-chat, stable-diffusion-v-1.5",55.285,59.39,81.415,
"A. Langedijk, H. Mohebbi, G. Sarti, W. Zuidema, and J. Jumelet. Decoderlens: Layerwise interpretation of
encoder-decoder transformers.","University of Amsterdam, Tilburg University, University of Groningen",FALSE,2023-10-05,https://arxiv.org/abs/2310.03686,flan-t5,flan-t5-xxl,11300000000," custom small transformer, nllb-600m and whisper",55.1,0,0,
"Z. Wu, A. Arora, Z. Wang, A. Geiger, D. Jurafsky, C. D. Manning, and C. Potts. Reft: Representation finetuning
for language models.","Stanford, Pr(AI)^2R Group",FALSE,2024-04-04,https://arxiv.org/abs/2404.03592,Llama,Llama 13B,13000000000,"Llama-7B, Llama-13B, Llama-2-7B, Llama-3-8B, RoBERTa-base, RoBERTa-large",46.9,52.7,79.2,
A. Azaria and T. Mitchell. The internal state of an LLM knows when it’s lying.,"Ariel University, Carnegie Mellon University",FALSE,2023-04-26,https://arxiv.org/abs/2304.13734,Llama-2,Llama-2 7B,7000000000,OPT-6.7b,46.085,53.07,77.895,
"A. Gupta, D. Sajnani, and G. Anumanchipalli. A unified framework for model editing.",UC Berkeley,FALSE,2024-03-21,https://arxiv.org/abs/2403.14236,Llama-2,Llama-2 7B,7000000000,GPT2-xl 1.5b and GPT-J 6b,46.085,53.07,77.895,
"A. Lv, K. Zhang, Y. Chen, Y. Wang, L. Liu, J.-R. Wen, J. Xie, and R. Yan. Interpreting key mechanisms of
factual recall in transformer-based language models.","Gaoling School of Artificial Intelligence, Renmin University of China 2 XiaoMi AI Lab 3 Baichuan Inc",TRUE,2024-03-28,https://arxiv.org/abs/2403.19521,Llama-2,Llama-2 7B,7000000000,"all sizes of GPT-2, 1.3b OPT",46.085,53.07,77.895,
"J. Huang, Z. Wu, C. Potts, M. Geva, and A. Geiger. Ravel: Evaluating interpretability methods on disentangling
language model representations.","Stanford, Tel Aviv, PRAiR",FALSE,2024-02-27,https://arxiv.org/abs/2402.17700,Llama-2,Llama-2 7B,7000000000,,46.085,53.07,77.895,
"J.-C. Gu, H. Xu, J.-Y. Ma, P. Lu, Z.-H. Ling, K. wei Chang, and N. Peng. Model editing can hurt general
abilities of large language models. ","UCLA, University of Science and Technology of China",FALSE,2024-01-09,https://arxiv.org/abs/2401.04700,Llama-2,Llama-2 7B,7000000000,GPT2-xl,46.085,53.07,77.895,
"K. Park, Y. J. Choe, and V. Veitch. The linear representation hypothesis and the geometry of large language
models.",University of Chicago,FALSE,2023-11-07,https://arxiv.org/abs/2311.03658,Llama-2,Llama-2 7B,7000000000,,46.085,53.07,77.895,
"N. Prakash, T. R. Shaham, T. Haklay, Y. Belinkov, and D. Bau. Fine-tuning enhances existing mechanisms: A
case study on entity tracking. ","Northeastern, MIT, Technion",FALSE,2024-02-22,https://arxiv.org/abs/2402.14811,Llama-2,Llama-2 7B,7000000000,"Llama-7b, Vicuna 7B, Goat-7B, Float-7B",46.085,53.07,77.895,
"P. Sharma, J. T. Ash, and D. Misra. The truth is in there: Improving reasoning with layer-selective rank
reduction. ","MIT, Microsoft Research NYC",TRUE,2023-12-21,https://arxiv.org/abs/2312.13558,Llama-2,Llama-2 7B,7000000000,"roBERTa, GPTj, Llama2",46.085,53.07,77.895,
"R. Achtibat, S. M. V. Hatefi, M. Dreyer, A. Jain, T. Wiegand, S. Lapuschkin, and W. Samek. AttnLRP:
Attention-aware layer-wise relevance propagation for transformers.","Fraunhofer Heinrich-Hertz-Institute, Technische Universita ̈t Berlin, BIFOLD – Berlin Institute for the Foundations of Learning and Data",FALSE,2024-02-08,https://arxiv.org/abs/2402.05602,Llama-2,Llama-2 7B,7000000000,"Llama-2-7b, mistral 7b",46.085,53.07,77.895,
"R. Gould, E. Ong, G. Ogden, and A. Conmy. Successor heads: Recurring, interpretable attention heads in the
wild. ","University of Cambridge, Independent",FALSE,2023-12-14,https://arxiv.org/abs/2312.09230,Llama-2,Llama-2 7B,7000000000,"Pythia 1.4b, GPT2xl, Llama2 7b",46.085,53.07,77.895,
"S. Katz, Y. Belinkov, M. Geva, and L. Wolf. Backward lens: Projecting language model gradients into the
vocabulary space.","Technion, Tel Aviv University",FALSE,2024-02-20,https://arxiv.org/abs/2402.12865,Llama-2,Llama-2 7B,7000000000,"GPT2-Small, GPT2-Medium, GPT2-XL",46.085,53.07,77.895,
"S. Singh, S. Ravfogel, J. Herzig, R. Aharoni, R. Cotterell, and P. Kumaraguru. Mimic: Minimally modified
counterfactuals in the representation space.","IIIT Hyderabad, Bar-Ilan University, Google Research, ETH Zurich",TRUE,2024-02-15,https://arxiv.org/abs/2402.09631,Llama-2,Llama-2 7B,7000000000,,46.085,53.07,77.895,
"Y. Jiang, G. Rajendran, P. Ravikumar, B. Aragam, and V. Veitch. On the origins of linear representations in
large language models","university of chicago, carnegie mellon",FALSE,2024-03-06,https://arxiv.org/abs/2403.03867,Llama-2,Llama-2 7B,7000000000,,46.085,53.07,77.895,
"A. Stolfo, Y. Belinkov, and M. Sachan. A mechanistic interpretation of arithmetic reasoning in language
models using causal mediation analysis.","ETH Zürich, Technion – IIT, Israel",FALSE,2023-05-24,https://arxiv.org/abs/2305.15054,Llama,Llama 7B,7000000000,GPT-J 6b and Pythia 2.8b,35.1,47.6,76.1,
"K. Li, O. Patel, F. Viégas, H. Pfister, and M. Wattenberg. Inference-time intervention: Eliciting truthful answers
from a language model. ",Harvard University,FALSE,2023-06-06,https://arxiv.org/abs/2306.03341,Llama,Llama 7B,7000000000,,35.1,47.6,76.1,
"Z. Yu and S. Ananiadou. Locating factual knowledge in large language models: Exploring the residual stream
and analyzing subvalues in vocabulary space.",University of Manchester,FALSE,2023-12-19,https://arxiv.org/abs/2312.12141,Llama,Llama 7B,7000000000,"GPT2-L, Llama-7B",35.1,47.6,76.1,
"C. Chen, K. Liu, Z. Chen, Y. Gu, Y. Wu, M. Tao, Z. Fu, and J. Ye. INSIDE: LLMs’ internal states retain the
power of hallucination detection. ","Alibaba Cloud, Zhejiang University",FALSE,2024-02-06,https://arxiv.org/abs/2402.03744,Llama,Llama 7B,13000000000,Llama 7b,35.1,47.6,76.1,
"J. Merullo, C. Eickhoff, and E. Pavlick. A mechanism for solving relational tasks in transformer language
models.",Brown University,FALSE,2023-05-25,https://arxiv.org/abs/2305.16130,bloom,BLOOM (176B),176000000000,"GPT-2 (all variants), GPT-J",34.975,50.64,74.805,
"E. Voita, J. Ferrando, and C. Nalmpantis. Neurons in large language models: Dead, n-gram, positional.","Meta AI, Universitat Politècnica de Catalunya*",TRUE,2023-09-09,https://arxiv.org/abs/2309.04827,OPT,OPT 66B,66000000000,all OPT sizes,31.495,46.33,74.875,
"G. Paulo, T. Marshall, and N. Belrose. Does transformer interpretability transfer to rnns?",EleutherAI,TRUE,2024-04-09,https://arxiv.org/abs/2404.05971,RWKV v5,RWKV v5,7000000000,,31,0,0,
"B. Chughtai, A. Cooney, and N. Nanda. Summing up the facts: Additive mechanisms behind factual recall in
llms.",Independent,FALSE,2024-02-11,https://arxiv.org/abs/2402.07321,GPT-2,GPT-2 XL,1500000000,"Pythia 2.8b, GPT-J",29.47,30.29,51.13,
B. Millidge and E. Winsor. Basic facts about language model internals. ,Conjecture,TRUE,2023-01-04,https://www.alignmentforum.org/posts/PDLfpRwSynu73mxGw/basic-facts-about-language-model-internals-1,GPT-2,GPT-2 XL,1500000000,,29.47,30.29,51.13,
"F. Zhang and N. Nanda. Towards best practices of activation patching in language models: Metrics and methods.
",UC Berkeley,FALSE,2023-09-27,https://arxiv.org/abs/2309.16042,GPT-2,GPT-2 XL,1500000000,GPT-small,29.47,30.29,51.13,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Transformer language models handle word frequency
in prediction head.","Tohoku University, MBZUAI, RIKEN",TRUE,2023-05-23,https://arxiv.org/abs/2305.18294,GPT-2,GPT-2 XL,1500000000,"GPT-2-small to -large, BERT-base and -large",29.47,30.29,51.13,
"J. Ferrando, G. I. Gállego, I. Tsiamas, and M. R. Costa-jussà. Explaining how transformers use context to
build predictions. ","Universitat Politècnica de Catalunya, Meta AI",TRUE,2023-05-21,https://arxiv.org/abs/2305.12535,GPT-2,GPT-2 XL,1500000000,"GPT-2 XL (1.5B) model (Radford et al., 2019), as in (Yin and Neubig, 2022), as well as other autoregressive Transformer language mod- els, such as GPT-2 Small (124M), and GPT-2 Large models (774M), OPT 125M (Zhang et al., 2022b), and BLOOM’s 560M and 1.1B variants",29.47,30.29,51.13,
"J. Huang, A. Geiger, K. D’Oosterlinck, Z. Wu, and C. Potts. Rigorously assessing natural language explanations
of neurons.","Stanford University, Pr(AI)²R Group, Ghent University",FALSE,2023-09-19,https://arxiv.org/abs/2309.10312,GPT-2,GPT-2 XL,1500000000,,29.47,30.29,51.13,
"J. Vig, S. Gehrmann, Y. Belinkov, S. Qian, D. Nevo, Y. Singer, and S. Shieber. Investigating gender bias in
language models using causal mediation analysis.","Salesforce Research, Harvard University, Tel Aviv University",TRUE,2020-12-6,https://dl.acm.org/doi/10.5555/3495724.3496763,GPT-2,GPT-2 XL,1500000000,"GPT2 small, medium, large, extra-large",29.47,30.29,51.13,
"K. Meng, D. Bau, A. Andonian, and Y. Belinkov. Locating and editing factual associations in GPT.","Northeastern, MIT, Technion",FALSE,2022-02-10,https://arxiv.org/abs/2202.05262,GPT-2,GPT-2 XL,1500000000,GPT-2 XL (1.5B parameters),29.47,30.29,51.13,
"N. Goldowsky-Dill, C. MacLeod, L. Sato, and A. Arora. Localizing model behavior with path patching.",Redwood Research,TRUE,2023-04-12,https://arxiv.org/abs/2304.05969,GPT-2,GPT-2 XL,1500000000,"GPT-2 small, GPT2-XL",29.47,30.29,51.13,
"Q. Yu, J. Merullo, and E. Pavlick. Characterizing mechanisms for factual recall in language models.",Brown University,FALSE,2023-10-24,https://arxiv.org/abs/2310.15910,GPT-2,GPT-2 XL,1500000000,"Pythia, GPT2",29.47,30.29,51.13,
S. Heimersheim and A. Turner. Residual stream norms grow exponentially over the forward pass.,Independent,FALSE,2023-05-06,https://www.alignmentforum.org/posts/8mizBCm3dyc432nK8/residual-stream-norms-grow-exponentially-over-the-forward,GPT-2,GPT-2 XL,1500000000,"GPT2-small, GPT2-xl",29.47,30.29,51.13,
S. Rajamanoharan. Progress update 1 from the gdm mech interp team. improving ghost grads.,Google Deepmind,TRUE,2024-04-19,https://www.alignmentforum.org/posts/C5KAZQib3bzzpeyrg/progress-update-1-from-the-gdm-mech-interp-team-full-update,GPT-2,GPT-2 XL,1500000000,,29.47,30.29,51.13,
"W. Gurnee, T. Horsley, Z. C. Guo, T. R. Kheirkhah, Q. Sun, W. Hathaway, N. Nanda, and D. BERTsimas.
Universal neurons in GPT2 language models.","MIT, University of Cambridge",FALSE,2024-01-22,https://arxiv.org/abs/2401.12181,GPT-2,GPT-2 XL,1500000000,,29.47,30.29,51.13,
"Z. Wu, K. D’Oosterlinck, A. Geiger, A. Zur, and C. Potts. Causal proxy models for concept-based model explanations.",1Stanford University 2Ghent University,FALSE,2022-09-28,https://arxiv.org/abs/2209.14279,GPT-2,GPT-2 XL,1500000000,"BERT-base-uncased, RoBERTa-base, GPT-2",29.47,30.29,51.13,
"K. Meng, A. S. Sharma, A. J. Andonian, Y. Belinkov, and D. Bau. Mass-editing memory in a transformer.","MIT, Northeastern, Technion",FALSE,2022-10-13,https://arxiv.org/abs/2210.07229,GPT-NeoX,GPT-NeoX,20000000000,GPT-J (6B) and GPT-NeoX (20B),29.3,45.56,70.925,
"Y. Yao, P. Wang, B. Tian, S. Cheng, Z. Li, S. Deng, H. Chen, and N. Zhang. Editing large language models:
Problems, methods, and opportunities.","zhejiang university, national university of singapore",FALSE,2023-05-22,https://arxiv.org/abs/2305.13172,GPT-NeoX,GPT-NeoX,20000000000,"T5-XL, GPT-J, OPT-13B, GPT-NEOX-20B",29.3,45.56,70.925,
"A. Modarressi, M. Fayyaz, E. Aghazadeh, Y. Yaghoobzadeh, and M. T. Pilehvar. DecompX: Explaining transformers decisions by propagating token decomposition.","1 Center for Information and Language Processing, LMU Munich, Germany
2 Munich Center for Machine Learning (MCML), Germany 3 University of Tehran, Iran
4 Tehran Institute for Advanced Studies, Khatam University, Iran",FALSE,2023-06-05,https://arxiv.org/abs/2306.02873,RoBERTa,RoBERTa-base,125000000, BERT-base-uncased 110m,27.9,0,0,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Incorporating Residual and Normalization Layers into
Analysis of Masked Language Models.","Tohoku University,  Langsmith Inc.,  RIKEN",TRUE,2021-09-15,https://arxiv.org/abs/2109.07152,RoBERTa,RoBERTa-base,125000000,BERT-base 110M,27.9,0,0,
"G. Puccetti, A. Rogers, A. Drozd, and F. Dell’Orletta. Outlier dimensions that disrupt transformers are driven by
frequency. ","Scuola Normale Superiore, Istituto di Linguistica Computazionale “Antonio Zampolli”,  University of Copenhagen, RIKEN",FALSE,2022-05-23,https://arxiv.org/abs/2205.11380,RoBERTa,RoBERTa-base,125000000,BERT-base 110M,27.9,0,0,
"H. Mohebbi, W. Zuidema, G. Chrupała, and A. Alishahi. Quantifying context mixing in transformers.","Tilburg University, University of Amsterdam",FALSE,2023-01-30,https://arxiv.org/abs/2301.12971,RoBERTa,RoBERTa-base,125000000,"BERT-base, electra-base (110M)",27.9,0,0,
"X. Wang, K. Wen, Z. Zhang, L. Hou, Z. Liu, and J. Li. Finding skill neurons in pre-trained transformer-based
language models. ",Tsinghua University,FALSE,2022-11-14,https://arxiv.org/abs/2211.07349,RoBERTa,RoBERTa-base,125000000,,27.9,0,0,
"Z. Luo, A. Kulmizev, and X. Mao. Positional artefacts propagate through masked language model embeddings.
","Uppsala University, Fuxi AI Lab",TRUE,2020-11-09,https://arxiv.org/abs/2011.04393,RoBERTa,RoBERTa-base,125000000,"BERT-base, RoBERTa-base",27.9,0,0,
"H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey. Sparse autoencoders find highly interpretable
features in language models.","EleutherAI, MATS, Bristol AI Safety Centre, Apollo Research",TRUE,2023-09-15,https://arxiv.org/abs/2309.08600,Pythia,Pythia 410M,410000000,Pythia 110M,27.25,26.19,40.85,
"W. Rudman, C. Chen, and C. Eickhoff. Outlier dimensions encode task specific knowledge.",Brown University1 University of Tübingen,FALSE,2023-10-26,https://arxiv.org/abs/2310.17715,Pythia,Pythia 410M,410000000,"GPT2, BERT, ALBERT, DistilBERT, Pythia-70M, Pythia-160M, Pythia-410M",27.25,26.19,40.85,
"A. Gupta, A. Rao, and G. K. Anumanchipalli. Model editing at scale leads to gradual and catastrophic forgetting. ",UC Berkeley,FALSE,2024-01-15,https://arxiv.org/abs/2401.07453,GPT-J,GPT-J 6B,6000000000,GPT2-xl 1.5b,27.04,41.38,67.54,
"B. Deiseroth, M. Deb, S. Weinbach, M. Brack, P. Schramowski, and K. Kersting. Atman: Understanding transformer predictions through memory efficient attention manipulation.","1Aleph Alpha 2Technical University Darmstadt
3Hessian Center for Artificial Intelligence (hessian.AI)
4German Center for Artificial Intelligence (DFKI) 5LAION",TRUE,2023-01-19,https://arxiv.org/abs/2301.08110,GPT-J,GPT-J 6B,6000000000,,27.04,41.38,67.54,
"E. Hernandez, A. S. Sharma, T. Haklay, K. Meng, M. Wattenberg, J. Andreas, Y. Belinkov, and D. Bau. Linearity of relation decoding in transformer language models. ","MIT, Northeastern, Technion, Harvard",FALSE,2023-08-17,https://arxiv.org/abs/2308.09124,GPT-J,GPT-J 6B,6000000000,"GPT-2-XL, Llama-13B",27.04,41.38,67.54,
"M. Geva, J. Bastings, K. Filippova, and A. Globerson. Dissecting recall of factual associations in autoregressive language models.","Google Deepmind, Tel Aviv University, Google, Research",TRUE,2023-04-28,https://arxiv.org/abs/2304.14767,GPT-J,GPT-J 6B,6000000000,GPT-2 and GPTJ,27.04,41.38,67.54,
"P. Hase, M. Bansal, B. Kim, and A. Ghandeharioun. Does localization inform editing? surprising differences in
causality-based localization vs. knowledge editing in language models.","Google Research, UNC Chapel Hill",TRUE,2023-01-10,https://arxiv.org/abs/2301.04213,GPT-J,GPT-J 6B,6000000000,GPT-J,27.04,41.38,67.54,
"Z. Li, N. Zhang, Y. Yao, M. Wang, X. Chen, and H. Chen. Unveiling the pitfalls of knowledge editing for
large language models.","zhejiang university, Tencent",TRUE,2023-10-03,https://arxiv.org/abs/2310.02129,GPT-J,GPT-J 6B,6000000000,"GPT2-XL, GPT-J",27.04,41.38,67.54,
"Q. Liu, Y. Chai, S. Wang, Y. Sun, K. Wang, and H. Wu. On training data influence of GPT models. ","Sun Yat-sen University, Baidu Inc., University of Copenhagen",TRUE,2024-04-11,https://arxiv.org/abs/2404.07840,Pythia,Pythia 2.8B,2800000000,Pythia (range of sizes),26.78,36.26,60.66,
"J. Kramár, T. Lieberum, R. Shah, and N. Nanda. Atp*: An efficient and scalable method for localizing llm
behaviour to components.",Google Deepmind,TRUE,2024-03-01,https://arxiv.org/abs/2403.00745,Pythia,Pythia 12B,12000000000,,26.76,38.195,68.82,
"J. Qi, R. Fernández, and A. Bisazza. Cross-lingual consistency of factual knowledge in multilingual language
models.","University of Groningen, University of Amsterdam",FALSE,2023-10-16,https://arxiv.org/abs/2310.10378,bloom,BLOOM (3B),3000000000,"Previous work on multilingual knowl- edge probing (Jiang et al., 2020; Kassner et al., 2021) focused on encoder-only PLMs, such as mBERT (Devlin et al., 2019) or XLM-RoBERTa (Liu et al., 2019). However, since decoder-only PLMs have become mainstream in the current NLP era, our experiments also include the decoder-only BLOOM series (560m, 1.1b, 1.7b, 3b parameters) (Scao et al., 2022) and the encoder-decoder mT5- large (1.2b) (Xue et al., 2021), in addition to the encoder-only XLM-RoBERTa-large (354m).",26.59,35.75,54.37,
