paper,year,link
"A. Arditi, O. Balcells, A. Syed, W. Gurnee, and N. Nanda. Refusal in llms is mediated by a single direction.
Alignment Forum, 2024. URL https://alignmentforum.org/posts/jGuXSZgv6qfdhMCuJ/refusal-i
n-llms-is-mediated-by-a-single-direction.",2024,"https://alignmentforum.org/posts/jGuXSZgv6qfdhMCuJ/refusal-i
n-llms-is-mediated-by-a-single-direction."
"A. Arora, D. Jurafsky, and C. Potts. Causalgym: Benchmarking causal interpretability methods on linguistic
tasks, 2024. URL https://arxiv.org/abs/2402.12560.",2024,https://arxiv.org/abs/2402.12560.
"S. Arora, Y. Li, Y. Liang, T. Ma, and A. Risteski. Linear algebraic structure of word senses, with applications
to polysemy. Transactions of the Association for Computational Linguistics, 6:483–495, 2018. doi: 10.116
2/tacl_a_00034. URL https://aclanthology.org/Q18-1034.",2018,https://aclanthology.org/Q18-1034.
"P. Atanasova, J. G. Simonsen, C. Lioma, and I. Augenstein. A diagnostic study of explainability techniques
for text classification. In B. Webber, T. Cohn, Y. He, and Y. Liu (eds.), Proceedings of the 2020 Conference
on Empirical Methods in Natural Language Processing (EMNLP), pp. 3256–3274, Online, November 2020.
Association for Computational Linguistics. doi: 10.18653/v1/2020.emnlp-main.263. URL https:
//aclanthology.org/2020.emnlp-main.263.",2020,"https:
//aclanthology.org/2020.emnlp-main.263."
"P. Atanasova, O.-M. Camburu, C. Lioma, T. Lukasiewicz, J. G. Simonsen, and I. Augenstein. Faithfulness
tests for natural language explanations. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Proceedings
of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers), pp.
283–294, Toronto, Canada, July 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.a
cl-short.25. URL https://aclanthology.org/2023.acl-short.25.",2023,https://aclanthology.org/2023.acl-short.25.
"G. Attanasio, E. Pastor, C. Di Bonaventura, and D. Nozza. ferret: a framework for benchmarking explainers
on transformers. In D. Croce and L. Soldaini (eds.), Proceedings of the 17th Conference of the European
Chapter of the Association for Computational Linguistics: System Demonstrations, pp. 256–266, Dubrovnik,
Croatia, May 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.eacl-demo.29. URL
https://aclanthology.org/2023.eacl-demo.29.",2023,https://aclanthology.org/2023.eacl-demo.29.
"M. Avitan, R. Cotterell, Y. Goldberg, and S. Ravfogel. What changed? converting representational interventions
to natural language. Arxiv, 2024. URL https://arxiv.org/abs/2402.11355.",2024,https://arxiv.org/abs/2402.11355.
"A. Azaria and T. Mitchell. The internal state of an LLM knows when it’s lying. In H. Bouamor, J. Pino,
and K. Bali (eds.), Findings of the Association for Computational Linguistics: EMNLP 2023, pp. 967–976,
Singapore, December 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.findings-e
mnlp.68. URL https://aclanthology.org/2023.findings-emnlp.68.",2023,https://aclanthology.org/2023.findings-emnlp.68.
"J. L. Ba, J. R. Kiros, and G. E. Hinton. Layer normalization. Arxiv, 2016. URL https://arxiv.org/abs/16
07.06450.",2016,"https://arxiv.org/abs/16
07.06450."
"S. Bach, A. Binder, G. Montavon, F. Klauschen, K.-R. Müller, and W. Samek. On pixel-wise explanations for
non-linear classifier decisions by layer-wise relevance propagation. PLOS ONE, 10(7):1–46, 07 2015. doi:
10.1371/journal.pone.0130140. URL https://doi.org/10.1371/journal.pone.0130140.",2015,https://doi.org/10.1371/journal.pone.0130140.
"Y. Bai, A. Jones, K. Ndousse, A. Askell, A. Chen, N. DasSarma, D. Drain, S. Fort, D. Ganguli, T. Henighan,
N. Joseph, S. Kadavath, J. Kernion, T. Conerly, S. El-Showk, N. Elhage, Z. Hatfield-Dodds, D. Hernandez,
T. Hume, S. Johnston, S. Kravec, L. Lovitt, N. Nanda, C. Olsson, D. Amodei, T. Brown, J. Clark, S. McCandlish, C. Olah, B. Mann, and J. Kaplan. Training a helpful and harmless assistant with reinforcement
learning from human feedback. ArXiv, 2022.",2022,
"D. Balduzzi, M. Frean, L. Leary, J. P. Lewis, K. W.-D. Ma, and B. McWilliams. The shattered gradients
problem: If resnets are the answer, then what is the question? In D. Precup and Y. W. Teh (eds.), Proceedings
of the 34th International Conference on Machine Learning, volume 70 of Proceedings of Machine Learning
Research, pp. 342–350. PMLR, 06–11 Aug 2017. URL https://proceedings.mlr.press/v70/balduz
zi17b.html.",2017,"https://proceedings.mlr.press/v70/balduz
zi17b.html."
"J. Bastings and K. Filippova. The elephant in the interpretability room: Why use attention as explanation
when we have saliency methods? In A. Alishahi, Y. Belinkov, G. Chrupała, D. Hupkes, Y. Pinter, and
H. Sajjad (eds.), Proceedings of the Third BlackboxNLP Workshop on Analyzing and Interpreting Neural
Networks for NLP, pp. 149–155, Online, November 2020. Association for Computational Linguistics. doi:
10.18653/v1/2020.blackboxnlp-1.14. URL https://aclanthology.org/2020.blackboxnlp-1.14.",2020,https://aclanthology.org/2020.blackboxnlp-1.14.
"J. Bastings, S. Ebert, P. Zablotskaia, A. Sandholm, and K. Filippova. “will you find these shortcuts?” a
protocol for evaluating the faithfulness of input salience methods for text classification. In Y. Goldberg,
Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural
Language Processing, pp. 976–991, Abu Dhabi, United Arab Emirates, December 2022. Association for
Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.64. URL https://aclanthology.org/2
022.emnlp-main.64.",2022,"https://aclanthology.org/2
022.emnlp-main.64."
"A. Bau, Y. Belinkov, H. Sajjad, N. Durrani, F. Dalvi, and J. Glass. Identifying and controlling important
neurons in neural machine translation. In International Conference on Learning Representations, 2019.
URL https://openreview.net/forum?id=H1z-PsR5KX.",2019,https://openreview.net/forum?id=H1z-PsR5KX.
"D. Bau, J.-Y. Zhu, H. Strobelt, A. Lapedriza, B. Zhou, and A. Torralba. Understanding the role of individual
units in a deep neural network. Proceedings of the National Academy of Sciences, 117(48):30071–30078,
2020. doi: 10.1073/pnas.1907375117. URL https://www.pnas.org/doi/abs/10.1073/pnas.19073751
17.",2020,"https://www.pnas.org/doi/abs/10.1073/pnas.19073751
17."
"D. Bau, B. C. Wallace, A. Guha, J. Bell, and C. Brodley. National deep inference facility for very large language
models (ndif). United States National Science Foundation, 2023.",2023,
"Y. Belinkov. Probing classifiers: Promises, shortcomings, and advances. Computational Linguistics, 48(1):
207–219, March 2022. doi: 10.1162/coli_a_00422. URL https://aclanthology.org/2022.cl-1.7.",2022,https://aclanthology.org/2022.cl-1.7.
"Y. Belinkov and J. Glass. Analysis methods in neural language processing: A survey. Transactions of the
Association for Computational Linguistics, 7:49–72, 2019. doi: 10.1162/tacl_a_00254. URL https:
//aclanthology.org/Q19-1004.",2019,"https:
//aclanthology.org/Q19-1004."
"Y. Belinkov, N. Durrani, F. Dalvi, H. Sajjad, and J. Glass. What do neural machine translation models learn
about morphology? In R. Barzilay and M.-Y. Kan (eds.), Proceedings of the 55th Annual Meeting of the
Association for Computational Linguistics (Volume 1: Long Papers), pp. 861–872, Vancouver, Canada, July
2017. Association for Computational Linguistics. doi: 10.18653/v1/P17-1080. URL https://aclantholo
gy.org/P17-1080.",2017,"https://aclantholo
gy.org/P17-1080."
"N. Belrose. Least-squares concept erasure with oracle concept labels. EleutherAI Blog, 2023. URL https:
//blog.eleuther.ai/oracle-leace/.",2023,"https:
//blog.eleuther.ai/oracle-leace/."
"N. Belrose, Z. Furman, L. Smith, D. Halawi, I. Ostrovsky, L. McKinney, S. Biderman, and J. Steinhardt.
Eliciting latent predictions from transformers with the tuned lens. Arxiv, 2023a. URL https://arxiv.or
g/abs/2303.08112.",,"https://arxiv.or
g/abs/2303.08112."
"N. Belrose, D. Schneider-Joseph, S. Ravfogel, R. Cotterell, E. Raff, and S. Biderman. LEACE: Perfect linear
concept erasure in closed form. In Thirty-seventh Conference on Neural Information Processing Systems,
2023b. URL https://openreview.net/forum?id=awIpKpwTwF.",,https://openreview.net/forum?id=awIpKpwTwF.
"Y. Bengio, R. Ducharme, P. Vincent, and C. Janvin. A neural probabilistic language model. J. Mach. Learn.
Res., 3(null):1137–1155, mar 2003. ISSN 1532-4435.",2003,
"L. Bereska and E. Gavves. Mechanistic interpretability for ai safety – a review. ArXiv, 2024. URL https:
//arxiv.org/abs/2404.14082.",2024,"https:
//arxiv.org/abs/2404.14082."
"L. Berglund, M. Tong, M. Kaufmann, M. Balesni, A. C. Stickland, T. Korbak, and O. Evans. The reversal
curse: Llms trained on ""a is b"" fail to learn ""b is a"". ArXiv, abs/2309.12288, 2023. URL https://api.se
manticscholar.org/CorpusID:262083829.",2023,"https://api.se
manticscholar.org/CorpusID:262083829."
"A. Bibal, R. Cardon, D. Alfter, R. Wilkens, X. Wang, T. François, and P. Watrin. Is attention explanation? an
introduction to the debate. In S. Muresan, P. Nakov, and A. Villavicencio (eds.), Proceedings of the 60th
Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 3889–3900,
Dublin, Ireland, May 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.acl-long.269.
URL https://aclanthology.org/2022.acl-long.269.",2022,https://aclanthology.org/2022.acl-long.269.
"S. Biderman, H. Schoelkopf, Q. Anthony, H. Bradley, K. O’Brien, E. Hallahan, M. A. Khan, S. Purohit, U. S.
Prashanth, E. Raff, A. Skowron, L. Sutawika, and O. Van Der Wal. Pythia: a suite for analyzing large language models across training and scaling. In Proceedings of the 40th International Conference on Machine
Learning, ICML’23. JMLR.org, 2023.",2023,
"A. Bietti, V. Cabannes, D. Bouchacourt, H. Jegou, and L. Bottou. Birth of a transformer: A memory viewpoint.
In A. Oh, T. Neumann, A. Globerson, K. Saenko, M. Hardt, and S. Levine (eds.), Advances in Neural
Information Processing Systems, volume 36, pp. 1560–1588. Curran Associates, Inc., 2023. URL https:
//proceedings.neurips.cc/paper_files/paper/2023/file/0561738a239a995c8cd2ef0e50cfa4f
d-Paper-Conference.pdf.",2023,"https:
//proceedings.neurips.cc/paper_files/paper/2023/file/0561738a239a995c8cd2ef0e50cfa4f
d-Paper-Conference.pdf."
"S. Bills, N. Cammarata, D. Mossing, H. Tillman, L. Gao, G. Goh, I. Sutskever, J. Leike, J. Wu, and W. Saunders.
Language models can explain neurons in language models. https://openaipublic.blob.core.windows
.net/neuron-explainer/paper/index.html, 2023.",2023,
"B. Bilodeau, N. Jaques, P. W. Koh, and B. Kim. Impossibility theorems for feature attribution. Proceedings
of the National Academy of Sciences, 121(2):e2304406120, 2024. doi: 10.1073/pnas.2304406120. URL
https://www.pnas.org/doi/abs/10.1073/pnas.2304406120.",2024,https://www.pnas.org/doi/abs/10.1073/pnas.2304406120.
"J. Bloom. Open source sparse autoencoders for all residual stream layers of GPT2 small. AI Alignment Forum,
2024. URL https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-a
utoencoders-for-all-residual-stream.",2024,"https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-a
utoencoders-for-all-residual-stream."
"J. Bloom and D. Channin. Saelens. GitHub repository, 2024. URL https://github.com/jbloomAus/SAELe
ns.",2024,"https://github.com/jbloomAus/SAELe
ns."
"J. Bloom and J. Lin. Understanding SAE features with the logit lens. AI Alignment Forum, 2024. URL
https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-wit
h-the-logit-lens.",2024,"https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-wit
h-the-logit-lens."
"T. Bolukbasi, A. Pearce, A. Yuan, A. Coenen, E. Reif, F. Viégas, and M. Wattenberg. An interpretability illusion
for bert, 2021.",2021,
"Y. Bondarenko, M. Nagel, and T. Blankevoort. Quantizable transformers: Removing outliers by helping attention heads do nothing. In Thirty-seventh Conference on Neural Information Processing Systems, 2023. URL
https://openreview.net/forum?id=sbusw6LD41.",2023,https://openreview.net/forum?id=sbusw6LD41.
"T. Bricken, A. Templeton, J. Batson, B. Chen, A. Jermyn, T. Conerly, N. Turner, C. Anil, C. Denison,
A. Askell, R. Lasenby, Y. Wu, S. Kravec, N. Schiefer, T. Maxwell, N. Joseph, Z. Hatfield-Dodds, A. Tamkin,
K. Nguyen, B. McLean, J. E. Burke, T. Hume, S. Carter, T. Henighan, and C. Olah. Towards monosemanticity: Decomposing language models with dictionary learning. Transformer Circuits Thread, 2023. URL
https://transformer-circuits.pub/2023/monosemantic-features/index.html.",2023,https://transformer-circuits.pub/2023/monosemantic-features/index.html.
"S. Brody, U. Alon, and E. Yahav. On the expressivity role of LayerNorm in transformers’ attention. In
A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Findings of the Association for Computational Linguistics: ACL 2023, pp. 14211–14221, Toronto, Canada, July 2023. Association for Computational Linguistics.
doi: 10.18653/v1/2023.findings-acl.895. URL https://aclanthology.org/2023.findings-acl.895.",2023,https://aclanthology.org/2023.findings-acl.895.
"D. Brown, N. Vyas, and Y. Bansal. On privileged and convergent bases in neural network representations,
2023.",2023,
"T. Brown, B. Mann, N. Ryder, M. Subbiah, J. D. Kaplan, P. Dhariwal, A. Neelakantan, P. Shyam, G. Sastry,
A. Askell, S. Agarwal, A. Herbert-Voss, G. Krueger, T. Henighan, R. Child, A. Ramesh, D. Ziegler, J. Wu,
C. Winter, C. Hesse, M. Chen, E. Sigler, M. Litwin, S. Gray, B. Chess, J. Clark, C. Berner, S. McCandlish, A. Radford, I. Sutskever, and D. Amodei. Language models are few-shot learners. In H. Larochelle,
M. Ranzato, R. Hadsell, M. Balcan, and H. Lin (eds.), Advances in Neural Information Processing Systems,
volume 33, pp. 1877–1901. Curran Associates, Inc., 2020. URL https://proceedings.neurips.cc/pap
er_files/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf.",1901,"https://proceedings.neurips.cc/pap
er_files/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf."
"M.-E. Brunet, C. Alkalay-Houlihan, A. Anderson, and R. Zemel. Understanding the origins of bias in word
embeddings. In K. Chaudhuri and R. Salakhutdinov (eds.), Proceedings of the 36th International Conference
on Machine Learning, volume 97 of Proceedings of Machine Learning Research, pp. 803–811. PMLR, 09–
15 Jun 2019. URL https://proceedings.mlr.press/v97/brunet19a.html.",2019,https://proceedings.mlr.press/v97/brunet19a.html.
"G. Brunner, Y. Liu, D. Pascual, O. Richter, M. Ciaramita, and R. Wattenhofer. On identifiability in transformers.
In International Conference on Learning Representations, 2020. URL https://openreview.net/forum
?id=BJg1f6EFDB.",2020,"https://openreview.net/forum
?id=BJg1f6EFDB."
"C. Burns, H. Ye, D. Klein, and J. Steinhardt. Discovering latent knowledge in language models without supervision. In The Eleventh International Conference on Learning Representations, 2023. URL
https://openreview.net/forum?id=ETKGuby0hcs.",2023,https://openreview.net/forum?id=ETKGuby0hcs.
"N. Cammarata, S. Carter, G. Goh, C. Olah, M. Petrov, L. Schubert, C. Voss, B. Egan, and S. K. Lim. Thread:
Circuits. Distill, 2020. doi: 10.23915/distill.00024. URL https://distill.pub/2020/circuits.",2020,https://distill.pub/2020/circuits.
"N. Cancedda. Spectral filters, dark signals, and attention sinks, 2024. URL https://arxiv.org/abs/2402.0
9221.",2024,"https://arxiv.org/abs/2402.0
9221."
"S. Casper, C. Ezell, C. Siegmann, N. Kolt, T. L. Curtis, B. Bucknall, A. A. Haupt, K. Wei, J. Scheurer,
M. Hobbhahn, L. Sharkey, S. Krishna, M. von Hagen, S. Alberti, A. Chan, Q. Sun, M. Gerovitch, D. Bau,
M. Tegmark, D. Krueger, and D. Hadfield-Menell. Black-box access is insufficient for rigorous ai audits.
ArXiv, abs/2401.14446, 2024. URL https://api.semanticscholar.org/CorpusID:267301601.",2024,https://api.semanticscholar.org/CorpusID:267301601.
"S. CH-Wang, B. V. Durme, J. Eisner, and C. Kedzie. Do androids know they’re only dreaming of electric
sheep?, 2023. URL https://arxiv.org/abs/2312.17249v1.",2023,https://arxiv.org/abs/2312.17249v1.
"L. Chan, A. Garriga-Alonso, N. Goldwosky-Dill, R. Greenblatt, J. Nitishinskaya, A. Radhakrishnan,
B. Shlegeris, and N. Thomas. Causal scrubbing, a method for rigorously testing interpretability hypotheses.
AI Alignment Forum, 2022. URL https://www.alignmentforum.org/posts/JvZhhzycHu2Yd57RN/cau
sal-scrubbing-a-method-for-rigorously-testing.",2022,"https://www.alignmentforum.org/posts/JvZhhzycHu2Yd57RN/cau
sal-scrubbing-a-method-for-rigorously-testing."
"H. Chefer, S. Gur, and L. Wolf. Transformer interpretability beyond attention visualization. In Proceedings of
the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 782–791, June 2021.",2021,
"A. Chen, R. Shwartz-Ziv, K. Cho, M. L. Leavitt, and N. Saphra. Sudden drops in the loss: Syntax acquisition, phase transitions, and simplicity bias in MLMs. In The Twelfth International Conference on Learning
Representations, 2024a. URL https://openreview.net/forum?id=MO5PiKHELW.",,https://openreview.net/forum?id=MO5PiKHELW.
"C. Chen, K. Liu, Z. Chen, Y. Gu, Y. Wu, M. Tao, Z. Fu, and J. Ye. INSIDE: LLMs’ internal states retain the
power of hallucination detection. In The Twelfth International Conference on Learning Representations,
2024b. URL https://openreview.net/forum?id=Zj12nzlQbz.",,https://openreview.net/forum?id=Zj12nzlQbz.
"H. Chen, C. Vondrick, and C. Mao. Selfie: Self-interpretation of large language model embeddings, 2024c.
URL https://arxiv.org/abs/2403.10949.",,https://arxiv.org/abs/2403.10949.
"S. Chen, M. Xiong, J. Liu, Z. Wu, T. Xiao, S. Gao, and J. He. In-context sharpness as alerts: An inner
representation perspective for hallucination mitigation, 2024d.",,
"A. Chowdhery, S. Narang, J. Devlin, M. Bosma, G. Mishra, A. Roberts, P. Barham, H. W. Chung, C. Sutton,
S. Gehrmann, P. Schuh, K. Shi, S. Tsvyashchenko, J. Maynez, A. Rao, P. Barnes, Y. Tay, N. Shazeer,
V. Prabhakaran, E. Reif, N. Du, B. Hutchinson, R. Pope, J. Bradbury, J. Austin, M. Isard, G. Gur-Ari,
P. Yin, T. Duke, A. Levskaya, S. Ghemawat, S. Dev, H. Michalewski, X. Garcia, V. Misra, K. Robinson,
L. Fedus, D. Zhou, D. Ippolito, D. Luan, H. Lim, B. Zoph, A. Spiridonov, R. Sepassi, D. Dohan, S. Agrawal,
M. Omernick, A. M. Dai, T. S. Pillai, M. Pellat, A. Lewkowycz, E. Moreira, R. Child, O. Polozov, K. Lee,
Z. Zhou, X. Wang, B. Saeta, M. Diaz, O. Firat, M. Catasta, J. Wei, K. Meier-Hellstern, D. Eck, J. Dean,
S. Petrov, and N. Fiedel. Palm: Scaling language modeling with pathways. Journal of Machine Learning
Research, 24(240):1–113, 2023. URL http://jmlr.org/papers/v24/22-1144.html.",2023,http://jmlr.org/papers/v24/22-1144.html.
"A. G. Chowdhury, M. M. Islam, V. Kumar, F. H. Shezan, V. Kumar, V. Jain, and A. Chadha. Breaking down
the defenses: A comparative survey of attacks on large language models, 2024.",2024,
"Y.-S. Chuang, Y. Xie, H. Luo, Y. Kim, J. R. Glass, and P. He. Dola: Decoding by contrasting layers improves
factuality in large language models. In The Twelfth International Conference on Learning Representations,
2024. URL https://openreview.net/forum?id=Th6NyL07na.",2024,https://openreview.net/forum?id=Th6NyL07na.
"B. Chughtai, A. Cooney, and N. Nanda. Summing up the facts: Additive mechanisms behind factual recall in
llms, 2024. URL https://www.arxiv.org/abs/2402.07321.",2024,https://www.arxiv.org/abs/2402.07321.
"K. Clark, U. Khandelwal, O. Levy, and C. D. Manning. What does BERT look at? an analysis of BERT’s
attention. In T. Linzen, G. Chrupała, Y. Belinkov, and D. Hupkes (eds.), Proceedings of the 2019 ACL
Workshop BlackboxNLP: Analyzing and Interpreting Neural Networks for NLP, pp. 276–286, Florence,
Italy, August 2019. Association for Computational Linguistics. doi: 10.18653/v1/W19-4828. URL https:
//aclanthology.org/W19-4828.",2019,"https:
//aclanthology.org/W19-4828."
"T. Conerly, A. Templeton, T. Bricken, J. Marcus, and T. Henighan. Circuits updates - april 2024. update on
how we train saes. Transformer Circuits Thread, 2024. URL https://transformer-circuits.pub/2024
/april-update/index.html.",2024,"https://transformer-circuits.pub/2024
/april-update/index.html."
"A. Conmy, A. Mavor-Parker, A. Lynch, S. Heimersheim, and A. Garriga-Alonso. Towards automated circuit
discovery for mechanistic interpretability. In A. Oh, T. Neumann, A. Globerson, K. Saenko, M. Hardt, and
S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36, pp. 16318–16352. Curran
Associates, Inc., 2023. URL https://papers.nips.cc/paper_files/paper/2023/hash/34e1dbe95d3
4d7ebaf99b9bcaeb5b2be-Abstract-Conference.html.",2023,"https://papers.nips.cc/paper_files/paper/2023/hash/34e1dbe95d3
4d7ebaf99b9bcaeb5b2be-Abstract-Conference.html."
"A. Cooney. CircuitVis, December 2022. URL https://github.com/alan-cooney/CircuitsVis.",2022,https://github.com/alan-cooney/CircuitsVis.
"A. Cooney. Sparse autoencoder. GitHub repository, 2023. URL https://github.com/ai-safety-foundat
ion/sparse_autoencoder.",2023,"https://github.com/ai-safety-foundat
ion/sparse_autoencoder."
"G. M. Correia, V. Niculae, and A. F. T. Martins. Adaptively sparse transformers. In K. Inui, J. Jiang, V. Ng, and
X. Wan (eds.), Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing
and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 2174–
2184, Hong Kong, China, November 2019. Association for Computational Linguistics. doi: 10.18653/v1/
D19-1223. URL https://aclanthology.org/D19-1223.",2019,https://aclanthology.org/D19-1223.
"M. Costa-jussà, E. Smith, C. Ropers, D. Licht, J. Maillard, J. Ferrando, and C. Escolano. Toxicity in
multilingual machine translation at scale. In H. Bouamor, J. Pino, and K. Bali (eds.), Findings of the
Association for Computational Linguistics: EMNLP 2023, pp. 9570–9586, Singapore, December 2023.
Association for Computational Linguistics. doi: 10.18653/v1/2023.findings- emnlp.642. URL
https://aclanthology.org/2023.findings-emnlp.642.",2023,https://aclanthology.org/2023.findings-emnlp.642.
"I. Covert, S. Lundberg, and S.-I. Lee. Explaining by removing: A unified framework for model explanation.
Journal of Machine Learning Research, 22(209):1–90, 2021. URL http://jmlr.org/papers/v22/20-1
316.html.",2021,"http://jmlr.org/papers/v22/20-1
316.html."
"J. Crabbé and M. van der Schaar. Evaluating the robustness of interpretability methods through explanation
invariance and equivariance. In Thirty-seventh Conference on Neural Information Processing Systems, 2023.
URL https://openreview.net/forum?id=5UwnKSgY6u.",2023,https://openreview.net/forum?id=5UwnKSgY6u.
